ezloophw-py logger started on:,2026-2-10_150405
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54248214,0.000000,0.000000,0.000000,1015.44,1015.79,1017.14,1017.93,0.02,0.01,0.93,0.99,1.0,1.0,1339.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54248313,0.000000,0.000000,0.000000,1015.43,1015.83,1017.14,1017.97,0.02,0.01,0.93,1.0,1.0,1.0,1341.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54248413,0.099000,0.000000,0.000000,1015.45,1015.85,1017.16,1017.95,0.02,0.01,1.0,1.0,0.97,0.81,1337.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54248513,0.200000,0.000000,0.000000,1024.58,1023.58,1028.42,1030.16,0.02,0.01,0.44,0.27,1.0,1.0,1335.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54248614,0.301000,0.000000,0.000000,1027.2,1025.47,1027.93,1028.11,0.02,0.01,0.89,0.6,1.0,1.0,1337.92,645.3271852834703,676.9291517162075,-0.7878287826322548,659.5497617264525,335.1480489034121,-3.5032677187443255,687.4601173281218,57.65282586583966,-8.269397788956352,-2.382881074607942,-0.9777083337884074
54248714,0.401000,0.000000,0.000000,1024.85,1023.66,1025.3,1025.67,0.02,0.01,0.49,0.29,0.67,0.74,1340.01,645.30447827975,676.9070223045753,-0.7835111986283394,659.3674656641961,335.0474078903544,-3.406204542799273,686.4080328877747,57.57493923757213,-7.767243430345753,-2.355632974963213,-0.8548123142432482
54248813,0.502000,0.000000,0.000000,1023.49,1022.94,1023.72,1023.79,0.02,0.01,0.26,0.17,0.35,0.37,1342.14,645.3046448753503,676.9315209759839,-0.7871351946777908,657.7621976569618,335.00854149780565,-2.834993478408051,685.3142354507365,57.50176471014863,-7.771216628181715,-2.0865799291400955,-1.496824042375616
54248913,0.602000,0.000000,0.000000,1023.24,1022.86,1023.26,1023.56,0.02,0.01,0.22,0.15,0.26,0.32,1344.19,645.2959387132375,676.9224012297598,-0.7729663004429235,656.9817457529298,334.96442076074806,-2.6320581889280112,680.2762397074933,57.000979407416644,-6.900691484499865,-1.9572199208774788,-0.8759913941197248
54249013,0.702000,0.000000,0.000000,1023.2,1022.94,1023.33,1023.58,0.02,0.01,0.21,0.17,0.28,0.33,1346.14,645.3109189595755,676.9232291427245,-0.7579302577555656,655.174927004664,334.89980653643715,-2.0505736693208028,678.8699269839425,56.9460811382302,-6.846504611998385,-1.651961175029507,-1.5686478636109635
54249113,0.802000,0.000000,0.000000,1023.25,1022.81,1023.35,1022.79,0.02,0.01,0.22,0.15,0.28,0.17,1348.1,645.3052653009269,676.9041198092614,-0.7895280501359235,654.769940017774,334.8468597868881,-1.9610893459423644,674.8931666489854,56.575806749172585,-6.20941201252142,-1.5849614889245174,-0.9662327655721685
54249214,0.900000,0.000000,0.000000,1023.34,1022.79,1023.33,1023.72,0.02,0.01,0.24,0.14,0.28,0.36,1350.06,645.3462498687107,676.914252298379,-0.7796743583859679,654.9570931656773,334.8714941251286,-1.9755403714155841,674.4608144820211,56.64652087597368,-6.175943499763664,-1.6094944126761048,-0.7909165961983926
54249314,1.003000,0.000000,0.000000,1023.41,1022.84,1023.32,1023.48,0.02,0.01,0.25,0.15,0.27,0.31,1352.01,645.3071905076089,676.9173616229145,-0.7765946104605137,655.5232390007492,334.9047257848675,-2.0867836640993307,676.0176636656165,56.661160588712725,-6.5913337618223204,-1.7109381553497354,-0.7907184790866149
54249414,1.105000,0.000000,0.000000,1023.41,1022.72,1023.26,1023.46,0.02,0.01,0.25,0.13,0.26,0.3,1353.86,645.2966827676051,676.9190898511329,-0.8047464602806369,657.2210076043367,334.996864890649,-2.582659655794108,677.0786147576549,56.75662636945141,-6.547380321446223,-1.9973451825306598,-0.08750586150156225
54249514,1.203000,0.000000,0.000000,1023.48,1022.75,1023.35,1023.52,0.02,0.01,0.26,0.14,0.28,0.32,1355.77,645.3097686166756,676.9205576529451,-0.7602482555078335,657.7985948580931,335.02219694173806,-2.7263495274497296,681.2651224941736,56.95103668042897,-6.925396859160523,-2.091963924530377,-0.6398545222809204
54249618,1.304000,0.000000,0.000000,1023.54,1022.7,1023.26,1023.46,0.02,0.01,0.27,0.13,0.26,0.31,1357.62,645.3057852564738,676.9324112863386,-0.77577724483682,658.5175409466999,335.0315031064414,-2.944868272294623,682.320369503844,57.080704269596836,-7.169372132427151,-2.2129259816761304,-0.4688356077735554
54249715,1.411000,0.000000,0.000000,1023.3,1022.86,1023.38,1023.45,0.02,0.01,0.23,0.16,0.29,0.3,1359.33,645.3042921296225,676.9371464349979,-0.7732870609595177,658.3168304578016,335.03585194243414,-2.8527341479042874,683.050783971706,57.0892872145333,-7.116719219734697,-2.1795876915983023,-0.7260756833506123
54249816,1.506000,0.000000,0.000000,1023.32,1022.85,1023.25,1023.43,0.02,0.01,0.24,0.16,0.26,0.3,1361.23,645.324545983206,676.9469162960626,-0.7796115996434572,657.0027345202409,334.96085706534495,-2.5323226438567183,682.4427624557717,57.106909469369384,-7.197056708233106,-1.9557844446022703,-1.319789337762448
54249916,1.604000,0.000000,0.000000,1023.29,1022.79,1023.26,1023.53,0.02,0.01,0.23,0.15,0.26,0.32,1362.88,645.307858383704,676.9356948686345,-0.7823547663612493,655.1437496334082,334.85149557646133,-1.9717184984515361,677.4814331099864,56.79016279170909,-6.722278626992886,-1.6469624516662822,-1.2989913658744787
54250016,1.705000,0.000000,0.000000,1023.18,1022.95,1023.01,1023.46,-0.0,-0.0,0.22,0.17,0.21,0.31,1364.68,645.307858383704,676.9356948686345,-0.7823547663612493,655.1437496334082,334.85149557646133,-1.9717184984515361,677.4814331099864,56.79016279170909,-6.722278626992886,-1.6469624516662822,-1.2989913658744787
54250116,1.803000,0.000000,0.000000,1023.07,1022.76,1023.3,1023.49,-0.0,-0.0,0.2,0.14,0.27,0.31,1364.68,645.2982906644199,676.9212251757825,-0.7605328174082748,654.9794759772683,334.89678063453465,-1.8847592614606445,674.9479410024493,56.56242440955158,-6.028573704488976,-1.6213548447099206,-0.8608149639950011
54250219,1.904000,0.000000,0.000000,1023.19,1022.86,1023.25,1023.43,-0.0,0.0,0.22,0.16,0.26,0.3,1367.94,645.3114728186353,676.9188344815412,-0.801437577688713,655.935985597475,334.92587530635,-2.2356726827962206,676.858972302411,56.7100649065183,-6.352132310929327,-1.7794051073107822,-0.7419750917055783
54250319,2.007000,0.000000,0.000000,1023.26,1022.77,1023.29,1023.46,-0.0,0.0,0.23,0.14,0.27,0.31,1367.94,645.3114728186353,676.9188344815412,-0.801437577688713,655.935985597475,334.92587530635,-2.2356726827962206,676.858972302411,56.7100649065183,-6.352132310929327,-1.7794051073107822,-0.7419750917055783
54250419,2.107000,0.000000,0.000000,1023.26,1022.83,1023.2,1023.43,0.0,0.0,0.23,0.15,0.25,0.3,1369.63,645.3261318783648,676.9144840932582,-0.8108266945538837,657.4798121062719,334.9989781902407,-2.6696081363451727,678.0821210329685,56.754815127496954,-6.7026127282393,-2.0357705617974586,-0.16313957159115855
54250520,2.209000,0.000000,0.000000,1023.39,1022.8,1023.32,1023.37,0.0,-0.0,0.26,0.15,0.28,0.29,1373.01,645.3117756688537,676.9162384821612,-0.7993811274662413,657.8664349939669,335.0107807504389,-2.7686370379050733,681.5401516015339,56.97690703249868,-6.931719086366703,-2.10293792854103,-0.6609421398097792
54250620,2.312000,0.000000,0.000000,1023.38,1022.77,1023.28,1023.38,0.0,-0.0,0.25,0.14,0.27,0.29,1373.01,645.3173619211881,676.9239922920899,-0.7916506615437782,658.1907363314327,335.00291555368096,-2.887203252982517,682.1661094176668,57.05134950892682,-6.943446885363091,-2.1561753538361303,-0.617630221683906
