ezloophw-py logger started on:,2026-3-11_160354
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
57839189,1.501000,0.000000,0.000000,1012.52,1012.76,1014.03,1014.88,0.0,0.0,1399.92,0.0,0.0,0.0,0.0,0.0,0.0,326.19375185616997,449.24650312205534,6.656780534831625,325.7607968555615,219.7954084805581,6.677332178517787,328.9513593720302,28.58680871070293,-6.947544434891888,0.10811220949712176,-1.172189805354695
57839289,1.601000,0.000000,0.000000,1012.54,1012.76,1014.1,1014.93,0.0,-0.0,1400.02,0.0,0.0,0.0,0.0,0.0,0.0,326.2018334709287,449.25191579400416,6.654869832734022,325.78834271702135,219.84662324553037,6.660095256866978,328.93510950031055,28.611412756744894,-6.951759821496221,0.10327246223163018,-1.1492593194089682
57839389,1.702000,0.000000,0.000000,1012.54,1012.81,1014.08,1014.95,0.0,-0.0,1399.89,0.0,0.0,0.0,0.0,0.0,0.0,326.20415961257504,449.2517198353806,6.630157681639567,325.7535983818543,219.79560248331057,6.696578936813207,328.925452970763,28.59892419506854,-6.943802722690428,0.11250614736919057,-1.1754326358731648
57839490,1.802000,0.000000,0.000000,1012.52,1012.92,1014.06,1014.95,0.0,-0.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,326.19558111311454,449.2510582225119,6.64863050910648,325.7587843434589,219.8010287621944,6.706628262152222,328.9270305845042,28.58884817306558,-6.895679484284741,0.10907203295370596,-1.167406440566058
57839590,1.902000,0.000000,0.000000,1012.59,1012.91,1014.01,1014.94,0.0,-0.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,326.1989771261043,449.2462486749667,6.649496755793846,325.7506410975055,219.80173426243496,6.7049876881978046,328.92144678057537,28.600239605124457,-6.939139417793207,0.11195617212750227,-1.1739945181357432
57839690,2.003000,0.000000,0.000000,1012.5,1012.87,1013.98,1014.96,0.0,-0.0,1399.94,0.0,0.0,0.0,0.0,0.0,0.0,326.20346611617356,449.24651653621737,6.654908678587941,325.7904547599575,219.85198184127492,6.696497173738258,328.88944721885235,28.60787829452946,-6.945181644358706,0.10315756678436627,-1.1346765654319295
57839790,2.104000,0.000000,0.000000,1012.46,1012.87,1014.07,1014.91,-0.0,-0.0,1399.86,0.0,0.0,0.0,0.0,0.0,0.0,326.1954979363813,449.25186145176997,6.654763156770922,325.7623722715766,219.79091954312204,6.665144333732778,328.90821273261315,28.608924716317173,-6.9780279075312786,0.10815018413444598,-1.1589995846318601
57839891,2.202000,0.000000,0.000000,1012.56,1012.84,1014.19,1014.97,0.0,-0.0,1399.86,0.0,0.0,0.0,0.0,0.0,0.0,326.20214065391747,449.23261719276434,6.714589092519849,325.74939354856,219.80589350567044,6.708043105685593,328.89111692590666,28.600772980782466,-6.889311143036928,0.11306644768336696,-1.1674847398099737
57839991,2.303000,0.000000,0.000000,1012.44,1012.85,1014.05,1014.99,0.0,-0.0,1399.99,0.0,0.0,0.0,0.0,0.0,0.0,326.20488636209694,449.2894163091468,6.612263681370121,325.7582573313713,219.7859338302118,6.652862102009243,328.8763946990157,28.57844368168556,-7.161539606134283,0.11150125430655997,-1.1572769783826793
57840090,2.403000,0.000000,0.000000,1012.45,1012.88,1014.04,1014.94,0.0,-0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,325.74961646979,448.93930083429973,6.325675601523336,325.30779595284736,218.685044794502,6.79370160876421,328.3689666748023,27.15865834579136,-6.545662807246562,0.10994115935060864,-1.135564137919463
