ezloophw-py logger started on:,2026-2-3_164256
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
60181142,1.500000,0.000000,0.000000,1032.53,1024.99,1030.82,1031.28,0.0,0.0,0.44,0.91,0.15,0.24,1359.35,0.0,0.0,0.0,0.0,634.0773848882934,666.1194333081824,-0.19634280041092736,629.6461442952753,315.35999638592193,2.1459220628156888,631.8392148135993,38.70139157729315,-2.8597810723333614,0.7237948621310566,-1.901763391305907
60181242,1.599000,0.000000,0.000000,1033.96,1032.06,1030.78,1031.3,0.0,0.0,0.68,0.29,0.15,0.24,1359.77,0.0,0.0,0.0,0.0,634.0770212732327,666.1080510063225,-0.2034871640161719,627.4664032365523,315.4986538353597,2.800650022462915,626.5432340682916,38.73309098886107,-2.34787083956801,1.0801639752030494,-1.9692149361624962
60181342,1.700000,0.000000,0.000000,1033.89,1032.59,1030.75,1031.51,0.0,-0.0,0.67,0.39,0.14,0.28,1360.9,0.0,0.0,0.0,0.0,634.0770754520772,666.1258685988898,-0.18930315675446377,625.120783661031,315.5465780049016,3.3727875382644386,620.6660691181212,38.8939506006137,-1.5069036423776847,1.4634239351441802,-2.004339782128854
60181442,1.800000,0.000000,0.000000,1031.94,1031.15,1030.71,1031.4,0.0,0.0,0.34,0.14,0.14,0.26,1360.9,0.0,0.0,0.0,0.0,634.083134680471,666.1251333512562,-0.1739810717863201,624.2389366222725,315.4664534139388,3.5093257239318163,617.8252001652535,38.91718056385672,-0.5311517603322063,1.608067700306772,-1.8875686613434453
60181542,1.900000,0.000000,0.000000,1031.65,1030.46,1030.77,1031.29,0.0,0.0,0.3,0.02,0.15,0.24,1362.97,0.0,0.0,0.0,0.0,634.0825702392059,666.1399344291357,-0.1484259763622006,625.9463834767056,315.492254956875,3.16349654511242,621.0356590322599,38.848014856712304,-1.4761223819090483,1.329213213983018,-1.6414732538717796
60181642,1.999000,0.000000,0.000000,1031.9,1030.28,1030.77,1031.26,0.0,0.0,0.34,0.01,0.15,0.24,1362.97,0.0,0.0,0.0,0.0,634.0767120716595,666.1175218005168,-0.19453123270803116,629.615080839232,315.2658796026374,2.3279250995673224,621.0356590322599,38.848014856712304,-1.4761223819090483,1.329213213983018,-1.6414732538717796
60181742,2.100000,0.000000,0.000000,1032.19,1030.11,1030.82,1031.26,0.0,0.0,0.39,0.03,0.15,0.24,1362.76,0.0,0.0,0.0,0.0,633.7729490347323,665.9152281794486,-0.043110732732422406,633.8751575599937,315.1096640129071,0.9156468761148108,621.0356590322599,38.848014856712304,-1.4761223819090483,1.329213213983018,-1.6414732538717796
60181842,2.200000,0.000000,0.000000,1032.15,1030.14,1030.92,1031.22,0.0,0.0,0.38,0.03,0.17,0.23,1363.62,0.0,0.0,0.0,0.0,633.4642106565137,665.8638563325321,0.10100483860486265,637.111404618735,313.82057420751204,0.3365221790339262,648.9900293302593,36.52921288984772,-5.631865156942375,-0.5935672001356775,-1.2658060629271062
60181942,2.299000,0.000000,0.000000,1031.92,1029.95,1030.82,1031.3,0.0,0.01,0.35,0.06,0.15,0.25,1364.6,0.0,0.0,0.0,0.0,633.4466347445483,665.8708189706548,0.10134775332593238,638.5511395262415,313.88246422466386,-0.4251498063014685,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182042,2.400000,0.000000,0.000000,1031.55,1030.14,1030.77,1031.29,0.0,0.0,0.28,0.03,0.15,0.24,1365.45,0.0,0.0,0.0,0.0,633.464827072486,667.2528939828047,0.04326632504529509,638.5511395262415,313.88246422466386,-0.4251498063014685,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
