ezloophw-py logger started on:,2026-3-19_123309
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
45192186,0.000000,0.000000,0.000000,1026.16,1026.59,1027.8,1028.68,0.0,0.0,1.0,1.0,1.0,1.0,1404.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45192285,0.001000,0.000000,0.000000,1026.25,1026.64,1027.73,1028.75,0.0,0.0,1.0,1.0,1.0,1.0,1404.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45192386,0.100000,0.000000,0.000000,1026.28,1026.56,1027.89,1028.62,0.0,0.0,1.0,1.0,1.0,1.0,1403.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45192486,0.200000,0.000000,0.000000,1026.27,1026.64,1027.77,1028.58,0.0,0.0,1.0,1.0,1.0,1.0,1403.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45192587,0.302000,0.000000,0.000000,1026.33,1026.6,1027.75,1028.61,0.0,0.0,1.0,1.0,1.0,1.0,1402.57,0.0,0.0,0.0,0.0,0.0,0.0,326.26295782204045,449.32748000638924,6.62890971191788,326.77349429598985,219.40016058090387,6.278960163938959,331.2328276271871,29.777295665150465,-6.939295790903726,-0.12722079849014298,-1.0927266049870101
45192687,0.404000,0.000000,0.000000,1026.18,1026.58,1027.83,1028.6,0.0,0.0,1.0,1.0,1.0,1.0,1402.01,0.0,0.0,0.0,0.0,0.0,0.0,326.25632092005105,449.32137376019375,6.6371432138733,326.6814741538115,219.4103575732695,6.269187291843032,331.2001721811063,29.787551437065613,-6.962778904511017,-0.10595167895194758,-1.153192648155378
45192786,0.503000,0.000000,0.000000,1026.25,1026.62,1027.83,1028.64,0.0,0.0,1.0,1.0,1.0,1.0,1401.38,0.0,0.0,0.0,0.0,0.0,0.0,326.2651886963815,449.33980884539346,6.56235101398871,326.75096038049355,219.41271494908463,6.310482037777657,331.162467097703,29.797167290534755,-6.972023988299334,-0.12104978766904903,-1.0906768183715092
45192886,0.602000,0.000000,0.000000,1026.15,1026.63,1027.81,1028.74,0.0,0.0,1.0,1.0,1.0,1.0,1400.99,0.0,0.0,0.0,0.0,0.0,0.0,326.27061895372736,449.31942616392126,6.623177109634123,326.7685486209128,219.40588754629826,6.3017099847124545,331.1916974094761,29.788779154697043,-6.957766004625735,-0.12408675013869498,-1.0881078534547453
45192986,0.702000,0.000000,0.000000,1026.16,1026.63,1027.91,1028.62,0.0,0.0,1.0,1.0,1.0,1.0,1400.37,0.0,0.0,0.0,0.0,0.0,0.0,326.25081487276543,449.3192262354876,6.587466022242286,326.7903172033828,219.41055500137097,6.276459158980668,331.2475007101191,29.7797774038569,-6.962376794211112,-0.13444969116888453,-1.0775634298723755
45193087,0.802000,0.000000,0.000000,1026.28,1026.61,1027.76,1028.6,0.0,0.0,1.0,1.0,1.0,1.0,1399.81,0.0,0.0,0.0,0.0,0.0,0.0,326.2542458893954,449.3197405721476,6.601064490768219,326.7912342299158,219.38663171562422,6.310942548017802,331.29106241186275,29.73106713208463,-6.942968363456275,-0.1338089576422797,-1.0915449499686414
45193186,0.903000,0.000000,0.000000,1026.28,1026.56,1027.84,1028.53,0.0,0.0,1.0,1.0,1.0,1.0,1399.62,0.0,0.0,0.0,0.0,0.0,0.0,326.21636785673485,449.3290869714382,6.567364384976104,326.7210705401546,219.4033264409088,6.25164842730061,331.3336239555895,29.707423687291712,-6.981314373178584,-0.12576793117018206,-1.1413660057146608
45193286,1.001000,0.000000,0.000000,1026.24,1026.58,1027.81,1028.64,0.0,0.0,1.0,1.0,1.0,1.0,1399.11,0.0,0.0,0.0,0.0,0.0,0.0,326.20554282281415,449.32348265244883,6.5520942945969916,326.71044437382386,219.40564323576024,6.267941565379966,331.29476632158526,29.726847385027384,-6.9677657401051185,-0.1258218218886771,-1.1328610022440255
45193386,1.103000,0.000000,0.000000,1026.19,1026.57,1027.65,1028.6,0.0,0.0,1.0,1.0,1.0,1.0,1399.05,0.0,0.0,0.0,0.0,0.0,0.0,326.266602090525,449.31935532417094,6.6335724994696035,326.6961309494667,219.4031782870195,6.265301972468764,331.28188971661234,29.729988271870475,-6.940485041711825,-0.1070397154408355,-1.1708998942079767
45193487,1.202000,0.000000,0.000000,1026.2,1026.61,1027.73,1028.57,0.0,0.0,1.0,1.0,1.0,1.0,1399.33,0.0,0.0,0.0,0.0,0.0,0.0,326.26336975578596,449.3198154612946,6.644606584954386,326.7711915593208,219.4075910804256,6.290535460910063,331.2191845277636,29.78218288380786,-6.9251146827979975,-0.12655263916220574,-1.0906202327455479
45193586,1.303000,0.000000,0.000000,1026.23,1026.6,1027.65,1028.62,0.0,0.0,1.0,1.0,1.0,1.0,1399.67,0.0,0.0,0.0,0.0,0.0,0.0,326.22610280299676,449.3235269411614,6.6023948003768735,326.758145243692,219.41004263333895,6.307794301640672,331.18725546052406,29.79319123470481,-6.941602556781956,-0.13258783864522947,-1.0729078472924365
45193686,1.403000,0.000000,0.000000,1026.26,1026.57,1027.83,1028.59,0.0,0.0,1.0,1.0,1.0,1.0,1399.74,0.0,0.0,0.0,0.0,0.0,0.0,326.254948934918,449.3233025102875,6.58085585005888,326.76369733974417,219.40906366939132,6.315492990639867,331.17000636635623,29.79617608126112,-6.946577492363975,-0.12678244289107135,-1.0776604487539694
45193786,1.502000,0.000000,0.000000,1026.27,1026.6,1027.72,1028.55,0.0,0.0,1.0,1.0,1.0,1.0,1399.82,0.0,0.0,0.0,0.0,0.0,0.0,326.2656903567117,449.30748567037745,6.6522465448593,326.68054634628265,219.4063477190626,6.271649386474158,331.20381607784634,29.79275970655154,-6.937479838718901,-0.10338996892537346,-1.1597630604725442
45193886,1.602000,0.000000,0.000000,1026.24,1026.64,1027.74,1028.49,0.0,0.0,1.0,1.0,1.0,1.0,1400.03,0.0,0.0,0.0,0.0,0.0,0.0,326.20577152150514,449.3224562013573,6.556687944073883,326.69741718553377,219.400660626003,6.271767076414071,331.2365329672002,29.7759035551697,-6.965897144089508,-0.12251634761607641,-1.126215049846249
45193986,1.702000,0.000000,0.000000,1026.23,1026.67,1027.76,1028.5,-0.0,0.0,1.0,1.0,1.0,1.0,1400.13,0.0,0.0,0.0,0.0,0.0,0.0,326.2525460013096,449.316417897189,6.582469135572592,326.7955560410464,219.4077503089766,6.288481669649603,331.2908861591704,29.72529019675098,-6.95761966331548,-0.13532384831447072,-1.0869645932343597
45194086,1.802000,0.000000,0.000000,1026.26,1026.64,1027.71,1028.5,-0.0,-0.0,1.0,1.0,1.0,1.0,1400.14,0.0,0.0,0.0,0.0,0.0,0.0,326.216323955251,449.3099164527647,6.556137885635503,326.80075836155424,219.40917513913865,6.29520330626165,331.2967841410369,29.7243430329133,-6.944391034775867,-0.14565221738893766,-1.0665008965604796
45194187,1.903000,0.000000,0.000000,1026.19,1026.58,1027.73,1028.59,-0.0,-0.0,1.0,1.0,1.0,1.0,1400.28,0.0,0.0,0.0,0.0,0.0,0.0,325.8681012928643,449.0655783424125,6.380056140510508,326.6841318956037,219.2204371041117,6.079840774293213,331.21787342544485,29.762202816925722,-6.992236294920569,-0.20341919255271942,-0.9639898014533645
45194286,2.003000,0.000000,0.000000,1026.33,1026.65,1027.82,1028.54,-0.0,-0.0,1.0,1.0,1.0,1.0,1400.25,0.0,0.0,0.0,0.0,0.0,0.0,325.7513471187982,449.71592810262723,6.411060257831108,326.39976800531485,218.27007572736576,6.263833623969557,330.9801935889973,28.08771390851557,-7.562963174871884,-0.16051997719156913,-1.0586270462701406
45194386,2.102000,0.000000,0.000000,1026.25,1026.64,1027.75,1028.56,-0.01,-0.0,1.0,1.0,1.0,1.0,1400.2,0.0,0.0,0.0,0.0,0.0,0.0,325.9549386048264,450.45901066361233,6.6514729738223455,326.3497514853204,218.19039392657828,6.104505481596244,330.8042697157663,27.311638951582825,-7.196802640457982,-0.09739193473785863,-1.1420792966239974
45194487,2.202000,0.000000,0.000000,1026.29,1026.58,1027.82,1028.63,-0.01,-0.0,1.0,1.0,1.0,1.0,1400.26,0.0,0.0,0.0,0.0,0.0,0.0,325.9414922190131,450.5774521837976,6.631919517578603,326.3497514853204,218.19039392657828,6.104505481596244,330.8042697157663,27.311638951582825,-7.196802640457982,-0.09739193473785863,-1.1420792966239974
45194586,2.303000,0.000000,0.000000,1026.28,1026.67,1027.79,1028.63,-0.01,0.0,1.0,1.0,1.0,1.0,1400.45,0.0,0.0,0.0,0.0,0.0,0.0,325.7316535298268,449.60879957067846,6.327990619726,326.373071909014,218.26563356857173,6.115109553607626,330.82139117942074,27.702307883319726,-7.39650141401316,-0.15885695910171094,-1.0194984852809117
45194686,2.402000,0.000000,0.000000,1026.28,1026.62,1027.68,1028.63,-0.01,0.0,1.0,1.0,1.0,1.0,1400.35,0.0,0.0,0.0,0.0,0.0,0.0,325.7641429431747,449.0757691707585,6.338528786182095,326.3860035071541,218.30285255630707,6.344794320813559,330.9095667852702,28.07912551403532,-7.487149145312717,-0.15439376528377094,-1.0534623277097444
45194786,2.502000,0.000000,0.000000,1026.3,1026.69,1027.77,1028.72,-0.01,0.0,1.0,1.0,1.0,1.0,1400.37,0.0,0.0,0.0,0.0,0.0,0.0,325.81346831239836,448.8764311975427,6.131737818795532,326.4499150829383,218.46159250378722,6.32431165215453,330.90784968130316,28.46329576765748,-7.39766782808414,-0.15826073226834284,-1.027564176342982
