ezloophw-py logger started on:,2026-2-3_163049
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
59452601,0.000000,0.000000,0.000000,1018.6,1018.26,1019.7,1020.77,0.0,0.0,1.0,1.0,1.0,1.0,1347.78,1018.6,1018.26,1019.7,1020.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59452701,0.000000,0.000000,0.000000,1018.58,1018.36,1019.83,1020.72,0.0,0.0,1.0,1.0,1.0,1.0,1348.9,1018.59,1018.29,1019.74,1020.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59452800,0.100000,0.000000,0.000000,1018.49,1018.36,1019.86,1020.77,0.0,0.0,1.0,1.0,1.0,1.0,1343.79,1018.56,1018.32,1019.78,1020.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59452901,0.200000,0.000000,0.000000,1028.23,1029.24,1031.45,1034.01,0.0,0.0,1.0,1.0,1.0,0.76,1339.62,1021.8,1021.98,1023.7,1025.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59453000,0.300000,0.000000,0.000000,1042.48,1044.49,1044.33,1046.13,0.0,0.0,0.17,0.04,0.15,0.44,1337.83,1028.74,1029.53,1030.62,1032.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59453101,0.399000,0.000000,0.000000,1045.32,1046.57,1044.63,1044.95,0.0,0.0,0.77,0.93,0.96,1.0,1338.68,1034.3,1035.25,1035.32,1036.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59453200,0.500000,0.000000,0.000000,1043.89,1043.98,1040.98,1041.04,0.0,0.0,1.0,1.0,1.0,1.0,1340.01,1037.52,1038.18,1037.22,1038.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59453300,0.600000,0.000000,0.000000,1039.6,1039.9,1037.48,1037.44,0.0,0.0,1.0,1.0,1.0,1.0,1341.28,1038.22,1038.76,1037.31,1037.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59453401,0.699000,0.000000,0.000000,1035.95,1035.97,1034.27,1034.28,0.0,0.0,1.0,1.0,1.0,1.0,1342.69,1037.46,1037.82,1036.29,1036.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59453501,0.800000,0.000000,0.000000,1032.86,1032.52,1031.54,1031.45,0.0,0.0,1.0,1.0,0.86,0.91,1343.88,1035.91,1036.04,1034.69,1034.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
