ezloophw-py logger started on:,2026-2-3_152250
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1200., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
55374074,0.000000,0.000000,0.000000,1018.61,1018.54,1019.82,1020.84,0.0,0.0,1.0,1.0,1.0,1.0,1351.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374173,0.000000,0.000000,0.000000,1018.35,1018.54,1019.97,1020.94,0.0,0.0,1.0,1.0,1.0,1.0,1352.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374273,0.099000,0.000000,0.000000,1018.48,1018.5,1020.0,1021.03,0.0,0.0,1.0,1.0,1.0,1.0,1354.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374373,0.199000,0.000000,0.000000,1018.4,1018.5,1020.0,1020.96,0.0,0.0,1.0,1.0,1.0,1.0,1355.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374472,0.299000,0.000000,0.000000,1018.43,1018.42,1019.97,1020.92,0.0,0.0,1.0,1.0,1.0,1.0,1351.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374572,0.398000,0.000000,0.000000,1026.47,1021.14,1032.27,1034.86,0.0,0.0,1.0,1.0,1.0,1.0,1348.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374672,0.498000,0.000000,0.000000,1036.22,1024.33,1046.0,1048.8,0.0,0.0,1.0,0.6,0.6,0.6,1345.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374772,0.598000,0.000000,0.000000,1045.46,1027.34,1054.09,1057.34,0.0,0.0,1.0,0.5,0.5,0.5,1343.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55374874,0.698000,0.000000,0.000000,1054.27,1030.54,1052.93,1054.76,0.0,0.0,1.0,1.0,1.0,1.0,1343.7,0.0,0.0,0.0,0.0,634.0727952945521,666.1541608114803,-0.1980758043564315,611.3803672712098,316.39355527873624,8.494544452625885,0.0,0.0,0.0,0.0,0.0
55374973,0.802000,0.000000,0.000000,1062.53,1032.68,1048.39,1050.16,0.0,0.0,1.0,1.0,1.0,1.0,1343.63,0.0,0.0,0.0,0.0,634.0727952945521,666.1541608114803,-0.1980758043564315,611.3803672712098,316.39355527873624,8.494544452625885,0.0,0.0,0.0,0.0,0.0
55375072,0.900000,0.000000,0.000000,1070.13,1034.36,1044.41,1046.03,0.0,0.0,1.0,1.0,1.0,1.0,1343.67,0.0,0.0,0.0,0.0,634.0667039087932,666.1540943680739,-0.1794216029304619,611.3803672712098,316.39355527873624,8.494544452625885,0.0,0.0,0.0,0.0,0.0
55375172,1.001000,0.000000,0.000000,1077.68,1036.02,1040.68,1042.25,0.0,0.0,1.0,1.0,1.0,1.0,1343.64,0.0,0.0,0.0,0.0,634.0667039087932,666.1540943680739,-0.1794216029304619,611.3803672712098,316.39355527873624,8.494544452625885,0.0,0.0,0.0,0.0,0.0
55375272,1.100000,0.000000,0.000000,1084.87,1037.4,1037.2,1038.83,0.0,0.0,1.0,1.0,1.0,1.0,1343.66,0.0,0.0,0.0,0.0,634.060977304831,666.1635895134813,-0.15759354395344027,611.3803672712098,316.39355527873624,8.494544452625885,0.0,0.0,0.0,0.0,0.0
55375372,1.199000,0.000000,0.000000,1092.49,1037.15,1034.24,1035.84,0.0,0.0,1.0,1.0,1.0,1.0,1343.65,0.0,0.0,0.0,0.0,634.0439843864344,666.1827487173091,-0.1583121648626573,611.3803672712098,316.39355527873624,8.494544452625885,0.0,0.0,0.0,0.0,0.0
