ezloophw-py logger started on:,2026-3-11_150044
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54047719,0.000000,0.000000,0.000000,1013.25,1013.53,1014.88,1015.55,0.0,0.0,1401.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54047818,0.000000,0.000000,0.000000,1013.2,1013.6,1014.64,1015.58,0.0,0.0,1401.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54047918,0.100000,0.000000,0.000000,1013.1,1013.48,1014.86,1015.55,0.0,0.0,1400.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54048019,0.200000,0.000000,0.000000,1013.13,1013.46,1014.8,1015.53,0.0,0.0,1400.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54048118,0.300000,0.000000,0.000000,1013.23,1013.46,1014.85,1015.57,0.0,0.0,1400.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54048218,0.400000,0.000000,0.000000,1013.13,1013.37,1014.9,1015.56,0.0,0.0,1400.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54048318,0.500000,0.000000,0.000000,1013.18,1013.42,1014.85,1015.55,0.0,0.0,1400.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54048418,0.599000,0.000000,0.000000,1013.2,1013.49,1014.86,1015.66,0.0,0.0,1399.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54048519,0.699000,0.000000,0.000000,1013.24,1013.49,1014.92,1015.59,0.0,0.0,1399.84,0.0,0.0,0.0,0.0,0.0,0.0,326.1097137790793,449.2378083687331,6.596388098456744,326.0623359778341,219.71887835904928,6.43618470064996,329.89018004244997,28.49365540637303,-6.934547830789206,0.011827120383009787,-1.1704173064565577
54048618,0.805000,0.000000,0.000000,1013.33,1013.5,1014.95,1015.62,0.0,0.0,1399.58,0.0,0.0,0.0,0.0,0.0,0.0,326.1097137790793,449.2378083687331,6.596388098456744,326.0623359778341,219.71887835904928,6.43618470064996,329.89018004244997,28.49365540637303,-6.934547830789206,0.011827120383009787,-1.1704173064565577
54048718,0.903000,0.000000,0.000000,1013.13,1013.5,1014.8,1015.61,0.0,0.0,1399.6,0.0,0.0,0.0,0.0,0.0,0.0,326.10922540760475,449.225846581951,6.600660425803596,326.0447097505702,219.72610116115962,6.448996992573648,329.8262162802398,28.52333031778159,-6.9310051202200205,0.016106661715225738,-1.1652310131371635
54048818,1.000000,0.000000,0.000000,1013.09,1013.55,1014.77,1015.5,0.0,0.0,1399.59,0.0,0.0,0.0,0.0,0.0,0.0,326.1154174123025,449.2268292131383,6.607065909621615,326.05762695695813,219.71650923561538,6.44639672858064,329.85016616424457,28.537074451352005,-6.93295996145127,0.014427016256691183,-1.165315142789166
54048918,1.099000,0.000000,0.000000,1013.18,1013.48,1014.86,1015.63,0.0,0.0,1399.62,0.0,0.0,0.0,0.0,0.0,0.0,326.1153821420866,449.2380974119241,6.599377184536466,326.0653326119849,219.7217251316438,6.435651162090233,329.8977784715085,28.50057762121082,-6.875990943202283,0.01249421454119733,-1.1731542162275184
54049018,1.201000,0.000000,0.000000,1013.2,1013.45,1014.89,1015.57,0.0,0.0,1399.51,0.0,0.0,0.0,0.0,0.0,0.0,326.11206152500364,449.22937652290227,6.598511793176715,326.0907468657919,219.7073797905137,6.420967247194571,329.92079464819534,28.508842636133103,-6.8865802110079715,0.005320797258943182,-1.1582247879574246
54049119,1.301000,0.000000,0.000000,1013.18,1013.42,1014.82,1015.6,0.0,0.0,1399.61,0.0,0.0,0.0,0.0,0.0,0.0,326.1135264871873,449.23513813851747,6.624901309061293,326.10431963242934,219.71327665667164,6.407298716183982,329.9710571172957,28.522590351639003,-6.9657789089743165,0.0022983166681052906,-1.1632176072480855
54049219,1.402000,0.000000,0.000000,1013.18,1013.45,1014.78,1015.64,0.0,0.0,1399.48,0.0,0.0,0.0,0.0,0.0,0.0,326.11117953518436,449.22654828260914,6.586836710535644,326.11584567430856,219.70572873996778,6.43279366014118,329.9904861939157,28.51290126452198,-6.9663231651171404,-0.001164818420103498,-1.158645739698526
54049319,1.502000,0.000000,0.000000,1013.21,1013.59,1014.76,1015.42,0.0,0.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,326.1197167826756,449.2202924759282,6.594451759757288,326.1250299469659,219.7135028499446,6.419283760170404,330.01305137584535,28.518799266690134,-6.956662036230433,-0.0013264177941626097,-1.162319389578395
54049420,1.603000,0.000000,0.000000,1013.2,1013.52,1014.88,1015.53,-0.0,-0.0,1399.54,0.0,0.0,0.0,0.0,0.0,0.0,326.12227704201905,449.2284002991561,6.5830014256952465,326.1032435425753,219.70953485041647,6.409567280161254,329.9870424515233,28.515816843283535,-6.962207332850919,0.00475141415003203,-1.1732162002789834
54049519,1.702000,0.000000,0.000000,1013.19,1013.49,1014.81,1015.57,-0.0,-0.0,1399.66,0.0,0.0,0.0,0.0,0.0,0.0,326.1117631491813,449.229601518921,6.597514535279615,326.1012740646858,219.7157663493803,6.408094498469601,330.0397331274896,28.581442319799628,-7.250475367433076,0.002618492570108006,-1.185690332328843
54049619,1.802000,0.000000,0.000000,1013.15,1013.51,1014.85,1015.57,-0.0,-0.0,1399.58,0.0,0.0,0.0,0.0,0.0,0.0,326.15330848096255,449.20653864969734,6.679309429179878,326.0699189194889,219.7142852352044,6.409319441149436,329.920464235308,28.501924192957105,-6.950403380252882,0.020819307172766265,-1.1952783660491362
54049720,1.902000,0.000000,0.000000,1013.2,1013.55,1014.86,1015.45,-0.0,-0.0,1399.56,0.0,0.0,0.0,0.0,0.0,0.0,326.1067730357089,449.2239941326808,6.622397750313491,326.071567701511,219.72302414329195,6.4307598442226155,329.8838811335296,28.528302004156256,-6.931915828360648,0.008789143898423094,-1.1598720002390013
54049819,2.002000,0.000000,0.000000,1013.12,1013.54,1014.86,1015.52,-0.0,0.0,1399.46,0.0,0.0,0.0,0.0,0.0,0.0,326.1146072505114,449.2298196623616,6.56849158490721,326.0464649085281,219.723315828531,6.438824096848376,329.87715245718664,28.515620063724146,-6.9008543793716655,0.01701158103076104,-1.1817430327676988
54049919,2.101000,0.000000,0.000000,1013.16,1013.55,1014.84,1015.48,-0.0,-0.0,1399.6,0.0,0.0,0.0,0.0,0.0,0.0,326.11701053473064,449.22395819549195,6.589620947941076,326.0643643735297,219.72776597547974,6.442777060730928,329.84439833134724,28.529407443798192,-6.9083226511336795,0.01314358535663687,-1.1588898921587778
54050020,2.202000,0.000000,0.000000,1013.28,1013.68,1014.95,1015.42,-0.0,-0.0,1399.52,0.0,0.0,0.0,0.0,0.0,0.0,326.11445201910703,449.22428548456736,6.611894136401791,326.05404623359607,219.725917231002,6.429647885296666,329.8715905034679,28.53284461909012,-6.935831683267203,0.015080701942955854,-1.174031896273287
54050120,2.303000,0.000000,0.000000,1013.15,1013.47,1014.78,1015.53,-0.0,-0.0,1399.59,0.0,0.0,0.0,0.0,0.0,0.0,325.82974438693236,448.95674561665794,6.3934467741236904,325.97230453233095,219.60691340045247,6.383529640441867,329.73817044605266,28.436072338866495,-7.0022131404406665,-0.03561412505613536,-1.0572928090076554
54050219,2.402000,0.000000,0.000000,1013.12,1013.56,1014.86,1015.55,-0.0,-0.0,1399.53,0.0,0.0,0.0,0.0,0.0,0.0,325.7125680515619,449.56152946468467,6.391318634791253,325.6721363681037,218.70336239783322,6.48823383041715,329.4238477000638,26.80519224972059,-6.836108968385006,0.010034580220889947,-1.1400894512324575
54050319,2.503000,0.000000,0.000000,1013.33,1013.53,1014.89,1015.49,-0.01,-0.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,325.88637201859115,450.2844671695842,6.791882083259955,325.5969266863274,218.52746235543114,6.27503946941234,329.5662795391133,25.914453774415495,-7.223086467371909,0.0715576529358458,-1.3236948559085655
54050419,2.602000,0.000000,0.000000,1013.27,1013.52,1014.88,1015.48,-0.01,-0.0,1399.67,0.0,0.0,0.0,0.0,0.0,0.0,325.8662515412957,450.3877330025946,6.795297255572559,325.5969266863274,218.52746235543114,6.27503946941234,329.5662795391133,25.914453774415495,-7.223086467371909,0.0715576529358458,-1.3236948559085655
54050519,2.702000,0.000000,0.000000,1013.22,1013.48,1014.84,1015.5,-0.01,-0.0,1399.6,0.0,0.0,0.0,0.0,0.0,0.0,325.69148712502084,449.41236176862327,6.385760308683277,325.6190963712509,218.59267447619501,6.374363742391373,329.50720038865137,26.394413169039225,-7.102830484003693,0.017969370721585116,-1.1948543709173427
54050620,2.801000,0.000000,0.000000,1013.28,1013.5,1014.87,1015.51,-0.01,0.0,1399.67,0.0,0.0,0.0,0.0,0.0,0.0,325.74137565206263,448.92984673727847,6.346754985704148,325.7686834434806,218.85172144102455,6.482579944462231,329.455586968264,26.879223921691075,-6.9487149300750195,-0.006800390896403072,-1.0866508048765526
54050719,2.902000,0.000000,0.000000,1013.25,1013.51,1014.91,1015.54,-0.01,0.0,1399.59,0.0,0.0,0.0,0.0,0.0,0.0,325.78169214011547,448.77267835232067,6.168176853527324,325.7602530687339,218.89689201439467,6.334898374439831,329.4964024267426,27.2212626461463,-6.994396073391549,0.005343617624329144,-1.1273575498693715
54050819,3.002000,0.000000,0.000000,1013.22,1013.49,1014.81,1015.49,-0.01,-0.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,325.8078061651383,448.92540206715995,6.4057240120025645,325.76126025461446,219.28079814080337,6.442762012294165,329.48688681481633,27.752142620030043,-6.866938673752079,0.011613093207903808,-1.1376064860790602
54050919,3.101000,0.000000,0.000000,1013.21,1013.45,1014.78,1015.56,-0.01,-0.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,325.96916120861454,449.20103040622786,6.437326635799349,325.87275780609076,219.6589289242323,6.444376056623305,329.64659147066794,28.28012317258433,-7.0532453866658935,0.02406315762946461,-1.1778058594385723
54051019,3.201000,0.000000,0.000000,1013.31,1013.49,1014.81,1015.54,-0.01,0.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,326.0994603100195,449.21107201337924,6.567298493937513,326.04028578968695,219.71320855949926,6.441234659594357,329.8623396937435,28.51800245885156,-6.892342092374329,0.014773340995876117,-1.1747552839188664
54051119,3.301000,0.000000,0.000000,1013.25,1013.51,1014.96,1015.56,-0.01,0.0,1399.63,0.0,0.0,0.0,0.0,0.0,0.0,326.09100638241415,449.2162351635843,6.579404153023603,326.04474930397475,219.71586583778472,6.440000807070172,329.8576931239108,28.526312125455974,-6.924739503767966,0.011548283512916351,-1.1656099907749042
54051219,3.401000,0.000000,0.000000,1013.24,1013.47,1014.84,1015.66,-0.01,0.0,1399.67,0.0,0.0,0.0,0.0,0.0,0.0,326.09258507727554,449.21927452290015,6.556779224942472,326.0456512892976,219.71771730189099,6.439396269146652,329.8587641654462,28.512071431882198,-6.876666760950108,0.011717166379051425,-1.1659022647726545
54051319,3.501000,0.000000,0.000000,1013.33,1013.55,1014.87,1015.53,-0.01,0.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,326.0981788886646,449.2202126870342,6.551380939406681,326.0565131929779,219.71682306059537,6.444738738970239,329.87637675101973,28.51495272397945,-6.890171669985926,0.010401887706252432,-1.1653163726833844
54051419,3.601000,0.000000,0.000000,1013.26,1013.44,1014.84,1015.64,-0.01,0.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,326.0982902923231,449.2172533385123,6.58349020568424,326.0644128105474,219.7116673164224,6.428472989014364,329.8975365424788,28.49429910276993,-6.885280273246597,0.008457470451255413,-1.1653064487967655
54051519,3.701000,0.000000,0.000000,1013.25,1013.5,1014.75,1015.68,-0.01,0.0,1399.86,0.0,0.0,0.0,0.0,0.0,0.0,326.10386208143336,449.2141965765166,6.56653576328124,326.06613740606167,219.71762573611952,6.440980019999774,329.92236662355975,28.489046377048826,-6.888555324746501,0.009418287405845634,-1.1740808270407634
54051619,3.802000,0.000000,0.000000,1013.27,1013.44,1014.86,1015.66,-0.01,0.0,1399.81,0.0,0.0,0.0,0.0,0.0,0.0,326.095228056463,449.21255401471774,6.582362666503079,326.07929894257126,219.70595808103408,6.426184480149151,330.0325359999637,28.548774597164545,-7.197850000500897,0.003976665647455023,-1.1926930944934095
54051719,3.902000,0.000000,0.000000,1013.26,1013.5,1014.79,1015.65,-0.01,0.0,1399.78,0.0,0.0,0.0,0.0,0.0,0.0,326.0913674083175,449.21205294649565,6.570063207194426,326.07995117529333,219.70968658154052,6.4256795611952615,330.045697429139,28.565791081710433,-7.2938114909094365,0.0028500881278254097,-1.1942703263009409
54051820,4.002000,0.000000,0.000000,1013.26,1013.49,1014.84,1015.54,-0.01,0.01,1399.7,0.0,0.0,0.0,0.0,0.0,0.0,326.0881994790487,449.22380623493353,6.573354479943035,326.08748530930256,219.70462714414018,6.403136115600748,330.0417556389719,28.55971026054431,-7.263124989638613,0.0001782810154273348,-1.1854819248541775
54051920,4.102000,0.000000,0.000000,1013.24,1013.53,1014.87,1015.65,-0.01,0.01,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,326.1024696402293,449.20951458475383,6.57342558625748,326.0691851967328,219.71357364633104,6.415784353068354,330.04377002590763,28.562072844145398,-7.2698407846462345,0.008309768419523118,-1.2077905446096868
54052019,4.202000,0.000000,0.000000,1013.23,1013.57,1014.79,1015.6,-0.01,0.01,1399.82,0.0,0.0,0.0,0.0,0.0,0.0,326.08859424188466,449.2132585790296,6.600473237097885,326.0764238071401,219.71832786763343,6.434034292783269,329.91562950919456,28.494365478091726,-6.911874448293257,0.003038474718758768,-1.156250453489538
54052119,4.301000,0.000000,0.000000,1013.17,1013.47,1014.8,1015.61,-0.01,0.01,1399.85,0.0,0.0,0.0,0.0,0.0,0.0,326.0942196397232,449.2161461281002,6.593459671480327,326.0542063695895,219.7222956186194,6.441498637038876,329.9077381815349,28.49249407579181,-6.861349971638972,0.009989773036860829,-1.1744085555252595
54052219,4.402000,0.000000,0.000000,1013.2,1013.55,1014.89,1015.63,-0.01,0.01,1399.92,0.0,0.0,0.0,0.0,0.0,0.0,326.0965573496728,449.21684540846695,6.570747856847234,326.0510861482142,219.7189435069341,6.455699985673295,329.85817673404733,28.517360044421626,-6.890577080033658,0.011352207916886617,-1.1633926820677332
