ezloophw-py logger started on:,2026-3-10_162618
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
59181261,0.000000,0.000000,0.000000,1012.68,1013.1,1014.27,1015.13,0.0,0.0,1401.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181360,0.000000,0.000000,0.000000,1012.71,1013.06,1014.35,1015.17,0.0,0.0,1401.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181460,0.099000,0.000000,0.000000,1012.67,1013.07,1014.34,1015.19,0.0,0.0,1400.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181561,0.200000,0.000000,0.000000,1012.64,1013.11,1014.4,1015.16,0.0,0.0,1400.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181660,0.300000,0.000000,0.000000,1012.68,1013.05,1014.39,1014.75,0.0,0.0,1400.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181760,0.400000,0.000000,0.000000,1012.62,1013.11,1014.4,1015.19,0.0,0.0,1400.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181860,0.499000,0.000000,0.000000,1012.62,1013.06,1014.31,1015.09,0.0,0.0,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59181961,0.599000,0.000000,0.000000,1012.57,1012.99,1014.35,1015.08,0.0,0.0,1399.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59182061,0.700000,0.000000,0.000000,1012.67,1012.97,1014.3,1015.11,0.0,0.0,1399.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59182161,0.801000,0.000000,0.000000,1012.69,1013.03,1014.23,1015.14,0.0,0.0,1399.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59182261,0.901000,0.000000,0.000000,1012.68,1013.05,1014.38,1015.14,0.0,0.0,1399.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59182362,1.000000,0.000000,0.000000,1012.73,1013.03,1014.42,1015.18,0.0,0.0,1399.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59182462,1.102000,0.000000,0.000000,1012.63,1013.02,1014.38,1015.18,0.0,0.0,1399.87,326.12385078296336,449.15438506726343,6.616804153990287,326.6989720646118,219.79302833224742,6.1841161688334845,331.17541803152614,28.36618164191335,-7.189415532625403,-0.14366828638414708,-1.052259880761975
59182564,1.202000,0.000000,0.000000,1012.68,1013.09,1014.26,1015.19,0.0,0.0,1399.55,326.16243873400816,449.3543304544564,6.569892382257386,326.65291039284494,219.7821762004324,6.174613838401336,330.9750595108997,28.064059897883304,-7.2662749044819614,-0.12240993842135418,-1.0466541182317532
59182662,1.308000,0.000000,0.000000,1012.79,1013.11,1014.28,1015.09,0.0,0.0,1399.59,326.1135391876248,449.16480569586076,6.552664993020295,326.47977815337435,219.79905081384973,6.232956303864779,330.64008097368287,28.17978821880219,-6.939779313948679,-0.09148675750639337,-1.0607967953942234
59182763,1.403000,0.000000,0.000000,1012.75,1013.13,1014.36,1015.1,0.0,0.0,1399.65,326.111719980461,449.284372268424,6.557446060044048,326.3872398708704,219.79033524756775,6.353781079540642,330.0612346848859,28.244343484440027,-7.175221411327292,-0.06878662083322935,-0.9612677501556418
59182863,1.503000,0.000000,0.000000,1012.75,1012.99,1014.22,1015.2,0.0,0.0,1399.82,326.11832322543285,449.2071252156207,6.55574903340146,326.16576354152465,219.77202832307424,6.444420488539354,329.4980613100315,28.251252183869397,-6.546650573022394,-0.011847053432123118,-0.9731028941954027
59182963,1.604000,0.000000,0.000000,1012.69,1013.06,1014.22,1015.2,0.0,0.0,1399.66,326.12082559642005,449.1741195312172,6.578591565964924,326.12849165157706,219.77164837516088,6.464727448478231,329.4547044200776,28.34055309790651,-6.5606371977399,-0.0019146812309152577,-0.9916138155217348
59183064,1.704000,0.000000,0.000000,1012.7,1013.11,1014.32,1015.18,0.0,-0.0,1399.7,326.11375244780334,449.2123403799455,6.57559489490908,326.1661368923297,219.72580901084817,6.469758321821267,329.4701953326072,28.203113264454927,-6.734694167942107,-0.013078796012386195,-0.9621839000469081
59183165,1.805000,0.000000,0.000000,1012.72,1013.11,1014.41,1015.2,-0.0,-0.0,1399.69,326.1196653081636,449.1869459500128,6.598255286652045,326.29231136749587,219.77886525481392,6.35770424273523,329.6635618795001,28.293108406718684,-6.86690753158997,-0.04311918155567342,-0.9223926474769317
