ezloophw-py logger started on:,2026-2-3_162625
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1200., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
59188486,0.000000,0.000000,0.000000,1018.32,1018.33,1019.79,1020.74,0.0,0.0,1.0,1.0,1.0,1.0,1357.33,1018.32,1018.33,1019.79,1020.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59188585,0.000000,0.000000,0.000000,1018.4,1018.41,1019.75,1020.69,0.0,0.0,1.0,1.0,1.0,1.0,1358.39,1018.35,1018.36,1019.78,1020.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59188684,0.099000,0.000000,0.000000,1018.51,1018.35,1019.87,1020.85,0.0,0.0,1.0,1.0,1.0,1.0,1354.4,1018.4,1018.35,1019.81,1020.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59188784,0.199000,0.000000,0.000000,1026.28,1021.07,1032.07,1034.61,0.0,0.0,1.0,1.0,0.98,0.72,1350.99,1021.05,1019.27,1023.92,1025.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59188885,0.298000,0.000000,0.000000,1036.34,1024.72,1045.18,1046.82,0.0,0.0,1.0,1.0,0.23,0.5,1346.77,1026.18,1021.1,1031.06,1032.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59188984,0.399000,0.000000,0.000000,1046.94,1034.53,1045.45,1045.43,0.0,0.0,1.0,0.72,1.0,1.0,1345.16,1033.14,1025.6,1035.89,1036.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59189084,0.498000,0.000000,0.000000,1060.37,1048.04,1041.68,1041.47,0.0,0.0,1.0,0.56,1.0,1.0,1344.51,1042.28,1033.13,1037.83,1038.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59189185,0.598000,0.000000,0.000000,1070.12,1051.85,1038.11,1037.83,0.0,0.0,1.0,1.0,1.0,1.0,1344.54,1051.62,1039.41,1037.92,1038.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59189284,0.699000,0.000000,0.000000,1077.72,1052.3,1034.95,1034.59,0.0,0.0,1.0,1.0,1.0,1.0,1344.59,1060.38,1043.74,1036.93,1037.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59189385,0.798000,0.000000,0.000000,1084.89,1052.46,1032.08,1031.81,0.0,0.0,1.0,1.0,0.97,0.97,1344.44,1068.6,1046.66,1035.3,1035.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59189484,0.899000,0.000000,0.000000,1091.84,1052.7,1029.83,1029.38,0.0,0.0,1.0,1.0,0.66,0.64,1344.65,1076.4,1048.69,1033.46,1033.29,634.1029356970025,666.2070043386848,-0.15951719660476343,587.6581802473276,319.09584103118027,15.524325189164724,0.0,0.0,0.0,0.0,0.0
59189584,0.999000,0.000000,0.000000,1098.68,1052.75,1027.96,1027.77,0.0,0.0,1.0,1.0,0.34,0.32,1344.69,1083.88,1050.05,1031.62,1031.44,634.1029356970025,666.2070043386848,-0.15951719660476343,587.6581802473276,319.09584103118027,15.524325189164724,0.0,0.0,0.0,0.0,0.0
59189685,1.101000,0.000000,0.000000,1105.1,1052.66,1027.99,1027.81,0.0,0.0,1.0,1.0,0.14,0.12,1344.74,1091.0,1050.93,1030.4,1030.22,634.0814312617305,666.2067137341536,-0.15376316449537528,573.1002346697726,322.0482628518439,20.130083997268578,0.0,0.0,0.0,0.0,0.0
59189786,1.201000,0.000000,0.000000,1111.47,1052.22,1028.06,1027.9,0.0,0.0,1.0,1.0,0.0,0.02,1343.84,1097.87,1051.36,1029.61,1029.44,634.0875152070796,666.2404506218751,-0.1377623043929451,564.6570608359078,324.1670068299328,22.679875646758227,0.0,0.0,0.0,0.0,0.0
59189886,1.301000,0.000000,0.000000,1117.85,1050.21,1027.91,1027.83,0.0,0.0,1.0,1.0,0.09,0.11,1343.05,1104.57,1050.97,1029.04,1028.9,634.0710900679182,666.2250694769195,-0.11517628812512294,564.6570608359078,324.1670068299328,22.679875646758227,0.0,0.0,0.0,0.0,0.0
59189986,1.401000,0.000000,0.000000,1124.2,1047.77,1028.05,1027.87,0.0,0.0,1.0,1.0,0.15,0.17,1343.09,1111.16,1049.9,1028.71,1028.56,634.0522916072779,666.256528810377,-0.13345182459156268,564.6570608359078,324.1670068299328,22.679875646758227,0.0,0.0,0.0,0.0,0.0
59190086,1.502000,0.000000,0.000000,1130.68,1044.89,1027.98,1027.83,0.0,0.0,1.0,1.0,0.19,0.21,1343.18,1117.71,1048.22,1028.46,1028.31,634.061163852604,666.2730044088536,-0.119539431799035,564.6570608359078,324.1670068299328,22.679875646758227,0.0,0.0,0.0,0.0,0.0
59190186,1.602000,0.000000,0.000000,1137.34,1041.42,1028.0,1027.86,0.0,-0.0,1.0,1.0,0.22,0.24,1343.34,1124.3,1045.94,1028.31,1028.16,634.0384414941777,666.2976997120088,-0.08528693014583699,564.6570608359078,324.1670068299328,22.679875646758227,0.0,0.0,0.0,0.0,0.0
59190287,1.702000,0.000000,0.000000,1143.67,1038.07,1027.92,1027.87,-0.0,-0.0,1.0,1.0,0.24,0.26,1343.57,1130.8,1043.3,1028.18,1028.06,634.0358540291422,666.3274144285446,-0.08081032603726299,517.8913459198741,341.50931530609796,36.19866279986961,0.0,0.0,0.0,0.0,0.0
59190387,1.802000,0.000000,0.000000,1150.19,1034.96,1028.0,1027.93,-0.0,-0.0,1.0,1.0,0.26,0.26,1343.8,1137.3,1040.5,1028.12,1028.02,634.0206927659896,666.3508444258558,-0.046424051886455264,509.7960885375734,345.60934941629006,38.67261319629192,0.0,0.0,0.0,0.0,0.0
59190487,1.903000,0.000000,0.000000,1156.34,1032.41,1028.02,1027.86,-0.01,-0.0,1.0,1.0,0.26,0.27,1344.05,1143.69,1037.79,1028.09,1027.97,634.0023659897565,666.388358710975,-0.06113008488473191,502.203766786234,349.7315724197906,40.84271030914393,0.0,0.0,0.0,0.0,0.0
