ezloophw-py logger started on:,2026-3-18_152705
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
55628720,0.000000,0.000000,0.000000,1028.73,1029.02,1030.24,1031.07,0.0,0.0,1.0,1.0,1.0,1.0,1405.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55628819,0.000000,0.000000,0.000000,1028.79,1029.0,1030.25,1031.1,0.0,0.0,1.0,1.0,1.0,1.0,1404.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55628920,0.099000,0.000000,0.000000,1028.7,1029.04,1030.2,1031.09,0.0,0.0,1.0,1.0,1.0,1.0,1404.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629020,0.199000,0.000000,0.000000,1028.68,1029.02,1030.29,1031.04,0.0,0.0,1.0,1.0,1.0,1.0,1403.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629119,0.300000,0.000000,0.000000,1028.72,1029.0,1030.26,1031.0,0.0,0.0,1.0,1.0,1.0,1.0,1402.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629219,0.399000,0.000000,0.000000,1028.71,1028.99,1030.24,1031.1,0.0,0.0,1.0,1.0,1.0,1.0,1402.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629319,0.499000,0.000000,0.000000,1028.74,1028.97,1030.2,1031.12,0.0,0.0,1.0,1.0,1.0,1.0,1401.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629419,0.599000,0.000000,0.000000,1028.8,1028.99,1030.24,1031.07,0.0,0.0,1.0,1.0,1.0,1.0,1401.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629519,0.699000,0.000000,0.000000,1028.77,1028.97,1030.2,1031.01,0.0,0.0,1.0,1.0,1.0,1.0,1400.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629619,0.799000,0.000000,0.000000,1028.66,1029.07,1030.37,1031.12,0.0,0.0,1.0,1.0,1.0,1.0,1400.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55629720,0.899000,0.000000,0.000000,1028.58,1029.01,1030.3,1031.15,0.0,0.0,1.0,1.0,1.0,1.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,326.25829091083807,449.2173888763665,6.617473139215226,326.37743498731,219.29231084808555,6.52122499603068,330.22028798019244,29.602679254829216,-6.97600049551854,-0.029689898045736875,-1.1011957289020777
55629820,1.001000,0.000000,0.000000,1028.68,1028.99,1030.14,1031.1,0.0,0.0,1.0,1.0,1.0,1.0,1399.46,0.0,0.0,0.0,0.0,0.0,0.0,326.21697512655123,449.2245548482433,6.58033042011711,326.3911265197463,219.28511527667115,6.466705188233473,330.22231718921563,29.60815861922567,-6.964386856734303,-0.04339463441806501,-1.0703423882549505
55629920,1.107000,0.000000,0.000000,1028.69,1029.03,1030.13,1031.16,0.0,0.0,1.0,1.0,1.0,1.0,1399.67,0.0,0.0,0.0,0.0,0.0,0.0,326.2589992820979,449.230345864342,6.589209033887321,326.39419175678853,219.28530295724156,6.472553200201077,330.21772550466596,29.613608685092817,-6.966885224022539,-0.03368612443769001,-1.0874794522535967
55630022,1.201000,0.000000,0.000000,1028.73,1029.13,1030.28,1031.04,0.0,0.0,1.0,1.0,1.0,1.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,326.25633453174186,449.22734969420395,6.592506164715798,326.39583571985685,219.29057465700282,6.461953861371488,330.22650117717114,29.607269496056084,-6.9630826329421875,-0.03476098303151881,-1.087412392550109
55630121,1.303000,0.000000,0.000000,1028.71,1029.02,1030.19,1031.07,0.0,0.0,1.0,1.0,1.0,1.0,1399.98,0.0,0.0,0.0,0.0,0.0,0.0,326.2061729860116,449.22510564083126,6.571509517025921,326.34680671781507,219.2619669110797,6.453843963087925,330.22015373208376,29.610191565207234,-6.969598759189256,-0.0350391733627994,-1.0999375274458665
55630222,1.402000,0.000000,0.000000,1028.66,1029.13,1030.27,1031.06,0.0,0.0,1.0,1.0,1.0,1.0,1399.91,0.0,0.0,0.0,0.0,0.0,0.0,326.259293156293,449.22118541929257,6.607439768359202,326.3976225484717,219.2832840173335,6.455310793418819,330.2355805353656,29.602193722002315,-6.953126284123472,-0.03446882549584953,-1.090212122223877
55630321,1.503000,0.000000,0.000000,1028.61,1028.98,1030.19,1031.02,0.0,0.0,1.0,1.0,1.0,1.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.2476861765848,449.20787100451236,6.594220878171545,326.3992281090279,219.28275094572933,6.452605556313985,330.22949025379836,29.605193857213656,-6.961449640661729,-0.037763215644989884,-1.0813211993424556
55630422,1.603000,0.000000,0.000000,1028.67,1029.04,1030.22,1031.03,0.0,-0.0,1.0,1.0,1.0,1.0,1400.19,0.0,0.0,0.0,0.0,0.0,0.0,326.25732808899727,449.23331970477903,6.610228958415459,326.39725398765427,219.28756997212412,6.463340211289934,330.2353059150097,29.604203334329874,-6.969842928849153,-0.0348654517744999,-1.0894333268506844
