ezloophw-py logger started on:,2026-3-19_122338
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44623393,1.302000,0.000000,0.000000,1026.49,1026.67,1027.99,1028.78,0.0,0.0,1.0,1.0,1.0,1.0,1400.44,0.0,0.0,0.0,0.0,0.0,0.0,326.45321564609634,449.46862853403263,6.638239393038259,326.6038755118086,219.68222191673297,6.341627993788758,330.56850566535246,29.946708008430583,-6.904247569215515,-0.03756607424026972,-1.1219211516604688
44623493,1.403000,0.000000,0.000000,1026.44,1026.79,1028.01,1028.6,0.0,0.0,1.0,1.0,1.0,1.0,1400.54,0.0,0.0,0.0,0.0,0.0,0.0,326.47509362138265,449.57492874647266,6.6392971616412915,326.61589648954754,219.63049969567348,6.494281337451442,330.5563699515211,29.96784938635357,-6.938824136629626,-0.035084168440984255,-1.1200503049521595
44623594,1.504000,0.000000,0.000000,1026.51,1026.73,1028.0,1028.68,0.0,0.0,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.4587443722946,449.5515364331065,6.6837553273489565,326.5794302967561,219.68424477378903,6.336324227121336,330.5159323249629,29.953324681618216,-6.8374686567658784,-0.030081676401230866,-1.128428348145552
44623694,1.604000,0.000000,0.000000,1026.5,1026.74,1027.97,1028.7,-0.0,0.0,1.0,1.0,1.0,1.0,1400.61,0.0,0.0,0.0,0.0,0.0,0.0,326.4492751048754,449.4478077781194,6.695864678036817,326.58579651949935,219.6823469196894,6.3386297819439585,330.54276859557666,29.95313482701954,-6.86065258827904,-0.03404384593472187,-1.126693723202141
44623794,1.704000,0.000000,0.000000,1026.48,1026.73,1028.01,1028.72,-0.0,0.0,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.459952241451,449.4614715600327,6.632044464939914,326.6252916910852,219.6435645334148,6.4903282058823795,330.5630181874557,29.93920018765276,-6.904742850472429,-0.04122068266656116,-1.1066863355951793
44623894,1.804000,0.000000,0.000000,1026.38,1026.74,1027.88,1028.85,-0.0,0.0,1.0,1.0,1.0,1.0,1400.5,0.0,0.0,0.0,0.0,0.0,0.0,326.47984327927554,449.57737943387866,6.651655056393299,326.62511440187944,219.6418053285273,6.471482668408169,330.5945799031263,29.956921198376946,-6.968820626169842,-0.03619892717888282,-1.1264347799383843
44623995,1.903000,0.000000,0.000000,1026.52,1026.76,1028.04,1028.73,-0.0,0.0,1.0,1.0,1.0,1.0,1400.59,0.0,0.0,0.0,0.0,0.0,0.0,326.479572830105,449.5728585113003,6.633036178684619,326.59370374781093,219.67918132692367,6.322972877002183,330.59883116700416,29.958163037485072,-6.936704268384619,-0.028444537663535337,-1.1524804468385672
44624095,2.005000,0.000000,0.000000,1026.46,1026.76,1027.97,1028.67,0.0,0.0,1.0,1.0,1.0,1.0,1400.6,0.0,0.0,0.0,0.0,0.0,0.0,326.4335698138704,449.456495704744,6.61507478542722,326.6081502683921,219.68531608895597,6.310148341512813,330.6041588690205,29.95128560244412,-6.944704498596011,-0.04353340275940268,-1.1194673290261752
44624195,2.105000,0.000000,0.000000,1026.44,1026.63,1027.99,1028.78,0.0,0.0,1.0,1.0,1.0,1.0,1400.48,0.0,0.0,0.0,0.0,0.0,0.0,325.76201326206046,449.18561739644,6.352784911100528,326.1420950541295,218.516301463272,6.450340955373196,330.04044220307446,28.580594030741405,-7.202463194028961,-0.09440814769311374,-0.9869893800356367
44624295,2.206000,0.000000,0.000000,1026.42,1026.64,1028.0,1028.72,0.0,0.01,1.0,1.0,1.0,1.0,1400.48,0.0,0.0,0.0,0.0,0.0,0.0,325.91811415434177,450.09909202950956,6.667307457277616,326.0644383715454,218.42756243012207,6.3820783320824885,329.8936873321591,27.531922106658858,-6.948057455241519,-0.03618812801901943,-1.0767876724610332
