ezloophw-py logger started on:,2026-3-19_123309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
45201896,1.303000,5.734648,5.734648,1028.54,1026.83,1028.39,1028.94,-0.01,0.01,0.43,1.0,0.48,1.0,1399.96,-0.004180805176833790,-0.03827316279890050,0.002724570838702200,0.0011702296542395700,0.0,0.0,326.13302595882800,449.30942859704800,6.533306871506180,325.5992832214450,219.4212722196020,7.061038525600490,327.60500596858300,29.64418438392140,-6.297258450623320,0.1330262147051350,-0.8715795298470660
45201995,1.403000,6.046329,6.046329,1031.28,1027.3,1030.72,1029.4,-0.01,0.01,0.27,1.0,0.33,1.0,1399.72,-0.0038616629024826100,-0.0381064351175089,0.0035589931365420700,0.002028077055852750,0.0,0.0,326.1306694166240,449.30738238999200,6.556984555799200,325.6076370389510,219.38451520890800,7.054153546739050,327.52914471584400,29.641618145948600,-6.208887921366420,0.1303371711781360,-0.8408832386165160
45202095,1.502000,6.359556,6.359556,1031.95,1027.25,1031.49,1029.22,-0.01,0.01,0.24,1.0,0.29,1.0,1399.21,-0.003471739666286050,-0.03784692930913100,0.004262638202438460,0.0031928578708255800,0.0,0.0,326.12662511651400,449.3077318681630,6.5496373856747100,325.8208469312990,219.3514639122840,6.961606565358120,327.2161255109990,29.719289586688600,-5.734016415331510,0.07618748255825920,-0.5739391408473000
45202195,1.602000,6.674498,6.674498,1031.53,1026.78,1031.1,1028.86,-0.01,0.01,0.27,1.0,0.33,1.0,1398.21,-0.0030461398633855500,-0.03742588662493510,0.004394500967948560,0.004927504850180360,0.0,0.0,326.13352167634500,449.29385986302100,6.545682476466570,325.4082487535280,219.3839139615370,7.075212259339930,326.6442397225180,29.771940310833700,-5.696625093972910,0.18074441914932900,-0.7349676944453750
45202298,1.702000,6.992158,6.992158,1031.47,1026.7,1031.02,1028.8,-0.01,0.01,0.29,1.0,0.35,1.0,1398.83,-0.00257646066412075,-0.0368680653545999,0.0049427942605513300,0.005905709401428310,0.0,0.0,326.12754871558100,449.31054674293200,6.539131615592280,324.888629818741,219.40594204656500,7.308313826371060,324.99940138625900,29.762596294893100,-5.18658521098583,0.308754741691197,-0.6509762130579480
45202399,1.802000,7.308410,7.308410,1031.56,1026.71,1030.75,1028.75,-0.02,0.01,0.38,1.0,0.45,1.0,1399.15,-0.0020185729909780000,-0.03622297448135400,0.006148443669848590,0.006874524541853010,0.0,0.0,326.1311107508160,449.29847725998000,6.5360560564758,324.17563597128400,219.36939052798600,7.39357955008395,323.5972957651290,29.70342893248920,-5.057751640637310,0.487270889635297,-0.7998327805832800
45202498,1.903000,7.614229,7.614229,1033.29,1026.94,1034.14,1029.26,-0.02,0.01,0.3,1.0,0.32,1.0,1399.03,-0.0013199464113973700,-0.0355159355236851,0.007412588737681520,0.00706984880494975,0.0,0.0,326.132015148913,449.30651195804800,6.530973239431860,323.9210873393480,219.40480024714000,7.5453777574378500,322.4706100025280,29.793956466893700,-4.6532911525168000,0.550987317118114,-0.6636842549179330
45202598,2.003000,7.926767,7.926767,1032.51,1026.77,1032.99,1029.0,-0.02,0.01,0.34,1.0,0.32,1.0,1399.06,-0.000457658283400003,-0.03475189436510890,0.009598520159760310,0.008198464721389960,0.0,0.0,326.1209998393560,449.2950814696810,6.532242358436720,324.01154251434800,219.35515786573500,7.559608495256230,322.1278163305850,29.697446450006,-4.26153843722862,0.525613862082582,-0.4821709195170300
45202699,2.102000,8.238877,8.238877,1033.61,1026.8,1032.82,1028.76,-0.02,0.01,0.31,1.0,0.35,1.0,1399.35,0.0005439875999909960,-0.03390712782514680,0.010657840585823400,0.009179116998927600,0.0,0.0,326.1274613867580,449.3046515326580,6.538622699366600,324.1439746736500,219.3740959336120,7.486016966132600,322.5995881772360,29.836556482039700,-4.385233891059150,0.4942474835754920,-0.5216488203819180
45202798,2.202000,8.552966,8.552966,1033.2,1026.66,1032.9,1028.65,-0.02,0.01,0.31,1.0,0.35,1.0,1399.72,0.0016311608316037800,-0.03293575306116760,0.011625992658571000,0.010480101694277900,0.0,0.0,326.13085865602000,449.2997406953290,6.5268475642582500,324.3188154340830,219.38532240735300,7.424499471909140,322.51871477252100,29.83266661032290,-4.3815636147752400,0.45259795542543200,-0.3610987055736140
45202898,2.303000,8.869261,8.869261,1033.21,1026.47,1032.79,1028.7,-0.02,0.01,0.32,1.0,0.38,1.0,1399.84,0.002760068700673750,-0.03187627958499150,0.010885500763382800,0.010497493984916400,0.0,0.0,326.1318340360440,449.30929807685200,6.540077437080630,324.2501716484390,219.32777800835600,17.780387321157900,322.91784042929900,29.693631419246500,-4.284581063578080,0.46877204589132800,-0.535002138572966
45202999,2.402000,9.196878,9.196878,1033.01,1026.73,1032.82,1028.84,-0.02,0.01,0.42,1.0,0.47,1.0,1399.89,0.0038982244002516800,-0.030754110434729300,0.011964532282835100,0.011901849088204400,0.0,0.0,326.1311249175250,449.2989519268010,6.546749359886240,324.2056303170110,219.37650275840600,7.519498238691580,322.3612212465220,29.79484732423090,-4.326380581629520,0.4798145440250790,-0.40222535999660700
45203098,2.502000,9.494796,9.494796,1037.12,1027.26,1037.08,1029.47,-0.02,0.01,0.25,1.0,0.33,1.0,1399.5,0.005034403094228410,-0.02960233109207430,0.012088249859582800,0.012291817434346400,0.0,0.0,326.12618097261300,449.29915957377000,6.521564177567410,323.97681597098500,219.3629675196330,7.619547529055850,321.27159077115400,29.759841556955300,-4.0305432213283,0.5355657821033510,-0.25370057838795300
45203198,2.603000,9.808673,9.808673,1035.79,1026.96,1035.56,1029.09,-0.02,0.01,0.27,1.0,0.29,1.0,1396.87,0.006174766667648540,-0.028450849754156300,0.012265687194630100,0.012540142264844800,0.0,0.0,326.1261782732850,449.29851925919,6.532303051204730,323.92809040128800,219.33949799190100,7.505884305099190,320.6351844077350,29.838541333707900,-3.4892429842924200,0.5476511508880530,-0.09978949330383870
45203299,2.704000,10.116712,10.116712,1035.44,1026.68,1035.31,1028.89,-0.02,0.01,0.3,1.0,0.34,1.0,1396.77,0.0073145867636749900,-0.027215352359866800,0.011937507413590800,0.013357998156532900,0.0,0.0,326.12601297673700,449.30970952393900,6.527903262954940,323.0413041541300,219.40770151443200,8.107556284589120,318.19137854514400,29.86175678473630,-3.1574038776022600,0.7687196517891560,-0.07172791639118900
45203399,2.802000,10.429039,10.429039,1035.33,1026.59,1035.18,1028.69,-0.02,0.01,0.36,1.0,0.4,1.0,1397.28,0.008489737704042650,-0.025880029471654200,0.012550819549370200,0.014359045607529200,0.0,0.0,326.1218284171020,449.2926898427690,6.559963510687960,322.30449700191,219.31821138352100,17.757734748370200,316.752376271235,29.98069760070240,-2.5994681850974100,0.9509615874449440,-0.22226685748264900
45203498,2.902000,10.745081,10.745081,1036.83,1026.75,1036.51,1028.85,-0.02,0.01,0.31,1.0,0.38,1.0,1397.71,0.009754012207268940,-0.024443211752301200,0.013697776054386100,0.01526025297701130,0.0,0.0,326.13357550908800,449.3032119460610,6.530581570680930,322.13227246738200,219.29921389130900,17.704265121908400,316.060634800419,29.99115283738090,-2.5104483981495400,0.9966550805520320,-0.1563043775639140
45203599,3.003000,11.053390,11.053390,1036.07,1026.59,1035.89,1028.76,-0.02,0.01,0.36,1.0,0.38,1.0,1398.31,0.011151057961939900,-0.022964279774723900,0.01538202114130890,0.015972131505628600,0.0,0.0,326.1303699691940,449.29716905935100,6.540783773293750,322.0925248942210,219.29362276969100,17.79497624925430,315.405865714898,30.04403325215820,-2.283160448103430,1.0057571801464100,0.012046400603664700
