ezloophw-py logger started on:,2026-3-19_150727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54452367,1.302000,0.000000,0.000000,1023.93,1024.19,1025.46,1026.46,0.0,0.02,1.0,1.0,1.0,1.0,1400.21,0.0,0.0,0.0,0.0,0.0,0.0,326.127095163089,449.2524861770410,6.5222152818442200,323.81225464363700,219.44162637187400,7.581282464203810,323.25358117758600,29.44273324589300,-5.170839105936900,0.577109831821397,-0.9857474217627030
54452466,1.402000,0.000000,0.000000,1023.93,1024.16,1025.52,1026.37,0.0,0.02,1.0,1.0,1.0,1.0,1400.59,0.0,0.0,0.0,0.0,0.0,0.0,326.12562156777600,449.26697081073400,6.515054754725290,323.8463063708840,219.44805338862400,7.613560234787270,323.19918990414,29.494917784325600,-5.159650189090740,0.5682337238192830,-0.9412777296815480
54452566,1.501000,0.000000,0.000000,1023.88,1024.31,1025.53,1026.45,0.0,0.02,1.0,1.0,1.0,1.0,1400.54,0.0,0.0,0.0,0.0,0.0,0.0,326.1302322613150,449.265402529963,6.525179286661280,323.80285770264400,219.433111550101,7.613005548367330,323.3191301085910,29.439624945582700,-5.244837157753270,0.5801803620800900,-1.0144847250264100
54452667,1.601000,0.000000,0.000000,1023.93,1024.38,1025.55,1026.43,0.0,0.0,1.0,1.0,1.0,1.0,1400.45,0.0,0.0,0.0,0.0,0.0,0.0,326.1755477343530,449.2481499476270,6.539620699033730,323.8939471516100,219.49867397527800,7.839999773627000,323.15933265191600,29.484488884730800,-5.118097630595870,0.5689753422654040,-0.9164403763458530
54452766,1.701000,0.000000,0.000000,1023.93,1024.25,1025.4,1026.37,0.0,0.0,1.0,1.0,1.0,1.0,1400.46,0.0,0.0,0.0,0.0,0.0,0.0,326.13065515469000,449.26148176117200,6.511929636815910,323.83729678074900,219.4927232360140,7.802674758534240,323.29413623217700,29.44902333306960,-5.237253506167450,0.5718592611972550,-0.9799629108727960
54452867,1.801000,0.000000,0.000000,1023.94,1024.27,1025.55,1026.31,0.0,0.0,1.0,1.0,1.0,1.0,1400.52,0.0,0.0,0.0,0.0,0.0,0.0,326.1280903517860,449.2595292532080,6.559618169969390,323.83920934610300,219.45385148091900,7.629013234492380,323.16204162190500,29.49652700159950,-5.0903504341845300,0.5706511969639900,-0.9370528953971260
54452967,1.902000,0.000000,0.000000,1023.94,1024.23,1025.5,1026.41,0.0,0.0,1.0,1.0,1.0,1.0,1400.38,0.0,0.0,0.0,0.0,0.0,0.0,326.1280201050230,449.25956145428500,6.545486940289710,323.80524169606500,219.4385216747330,7.610300504262840,323.2853898649610,29.445188619368200,-5.205670363547260,0.5790630329136320,-1.0013561356100500
54453067,2.002000,0.000000,0.000000,1023.92,1024.32,1025.61,1026.35,0.0,0.0,1.0,1.0,1.0,1.0,1400.39,0.0,0.0,0.0,0.0,0.0,0.0,326.12846898532000,449.26283084184500,6.526888356982450,323.86600870515000,219.50406008189900,7.843956679639840,323.1930508950790,29.495769905625800,-5.126776371391920,0.5641797060427090,-0.9254341552319200
54453167,2.106000,0.000000,0.000000,1023.91,1024.25,1025.53,1026.34,0.0,0.0,1.0,1.0,1.0,1.0,1400.41,0.0,0.0,0.0,0.0,0.0,0.0,326.1296737263340,449.25248622316500,6.532645730609950,323.8764904349730,219.51745435511600,7.84795757569655,323.267481885864,29.444098355272800,-5.177909581264540,0.5619245478679190,-0.9402699719721640
54453268,2.201000,0.000000,0.000000,1023.9,1024.3,1025.38,1026.37,0.0,0.01,1.0,1.0,1.0,1.0,1400.44,0.0,0.0,0.0,0.0,0.0,0.0,326.1337383544040,449.2632880147810,6.5348677118357100,323.85810024948500,219.49630482389900,7.807409956724850,323.26498701944700,29.45430392867350,-5.197662685792200,0.5674453063318050,-0.9560734335154520
