ezloophw-py logger started on:,2026-3-19_151130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54693380,0.000000,0.000000,0.000000,1023.93,1024.4,1025.45,1026.09,0.0,0.0,1.0,1.0,1.0,1.0,1404.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54693480,0.100000,0.000000,0.000000,1024.04,1024.35,1025.42,1026.22,0.0,0.0,1.0,1.0,1.0,1.0,1403.53,0.0,0.0,0.0,0.0,0.0,0.0,326.1055760734460,449.15207967287200,6.502271708169990,325.8042604637760,219.29002817123600,6.811792902875700,328.3130239207770,29.18157612485510,-6.344239890580650,0.07510636372644450,-0.9062717723954620
54693579,0.202000,0.000000,0.000000,1023.99,1024.33,1025.41,1026.1,0.0,0.0,1.0,1.0,1.0,1.0,1402.91,0.0,0.0,0.0,0.0,0.0,0.0,326.1055760734460,449.15207967287200,6.502271708169990,325.8042604637760,219.29002817123600,6.811792902875700,328.3130239207770,29.18157612485510,-6.344239890580650,0.07510636372644450,-0.9062717723954620
54693680,0.301000,0.000000,0.000000,1024.04,1024.29,1025.48,1026.17,0.0,0.0,1.0,1.0,1.0,1.0,1402.35,0.0,0.0,0.0,0.0,0.0,0.0,326.09703963068900,449.1484931833020,6.533018878846170,325.80591155712500,219.288916324454,6.802102819378680,328.31678281711000,29.17091092892410,-6.327312292959140,0.07256778778454060,-0.9017917502456650
54693780,0.402000,0.000000,0.000000,1023.98,1024.27,1025.36,1026.2,0.0,0.0,1.0,1.0,1.0,1.0,1401.81,0.0,0.0,0.0,0.0,0.0,0.0,326.10671587074100,449.1555780969250,6.501377112043950,325.81200434132400,219.2956566140760,6.801479336505550,328.3279316612730,29.199958217409300,-6.35910723188973,0.07346090370107890,-0.9051904174561020
54693879,0.502000,0.000000,0.000000,1023.98,1024.3,1025.37,1026.11,0.0,0.0,1.0,1.0,1.0,1.0,1401.29,0.0,0.0,0.0,0.0,0.0,0.0,326.09575762508900,449.16640925816100,6.5491354174629600,325.8172922651370,219.29567932472100,6.819424841833560,328.32463736367400,29.18519832534260,-6.3433116401279000,0.069408062809592,-0.8944397098648540
54693979,0.601000,0.000000,0.000000,1024.03,1024.43,1025.36,1026.12,0.0,0.0,1.0,1.0,1.0,1.0,1400.76,0.0,0.0,0.0,0.0,0.0,0.0,326.09574635176100,449.158497669673,6.528082649606050,325.8149220724560,219.29902016730900,6.814929582768620,328.3392793566620,29.190168685007000,-6.3613668820272000,0.06999945426857320,-0.9007552728393450
54694079,0.702000,0.000000,0.000000,1024.08,1024.33,1025.3,1026.18,0.0,0.0,1.0,1.0,1.0,1.0,1400.23,0.0,0.0,0.0,0.0,0.0,0.0,326.1042837162920,449.1597059229750,6.516116782409360,325.8137029158730,219.29287418100000,6.783052468144170,328.3322047128970,29.18615899189780,-6.364431383419510,0.07242908634068280,-0.9038586248535150
54694179,0.801000,0.000000,0.000000,1024.05,1024.32,1025.37,1026.2,0.0,0.0,1.0,1.0,1.0,1.0,1399.9,0.0,0.0,0.0,0.0,0.0,0.0,326.10533083301200,449.14777606998000,6.526732292123500,325.81116374558300,219.3003788530160,6.818454608152540,328.30849239982700,29.208924604808500,-6.3376296932153000,0.07332918964033390,-0.8993390371394580
54694279,0.901000,0.000000,0.000000,1023.52,1024.24,1025.47,1026.07,0.0,0.0,1.0,1.0,1.0,1.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,326.0934591345010,449.1562762162380,6.526523381333430,325.8023626609080,219.2961105802430,6.813923848979970,328.3242807374230,29.187757813174300,-6.350793655807440,0.07255972519449460,-0.9051427993644760
