ezloophw-py logger started on:,2026-1-20_153443,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1030.,1030,1030,1030.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
56088892,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,633.4008070087570,668.4506594750240,0.029860150908841900,603.0498175428570,318.136095348498,12.824882543140600,513.2617721827930,43.73222522217440,21.978417101474300,4.9836303636838500,8.15142011434919
56088992,0.100000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,633.3739264058540,668.449095083544,0.05479907648206690,603.0498175428570,318.136095348498,12.824882543140600,513.2617721827930,43.73222522217440,21.978417101474300,4.9836303636838500,8.15142011434919
56089092,0.200000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,633.3739264058540,668.449095083544,0.05479907648206690,603.0498175428570,318.136095348498,12.824882543140600,513.2617721827930,43.73222522217440,21.978417101474300,4.9836303636838500,8.15142011434919
56089192,0.299000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,633.3739264058540,668.449095083544,0.05479907648206690,603.0498175428570,318.136095348498,12.824882543140600,513.2617721827930,43.73222522217440,21.978417101474300,4.9836303636838500,8.15142011434919
56089293,0.399000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,633.3739264058540,668.449095083544,0.05479907648206690,603.0498175428570,318.136095348498,12.824882543140600,513.2617721827930,43.73222522217440,21.978417101474300,4.9836303636838500,8.15142011434919
56089393,0.499000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,633.378130743108,668.0334533244830,0.016567351668717500,603.8587077771870,317.9055000064450,12.624716509510500,513.4459089608210,42.52482167523160,21.72579961204970,4.81923210835308,8.537543575297940
56089492,0.600000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,633.487088911671,667.7958927847380,-0.12469552777544300,603.6685381738850,317.95088937675000,12.822401393852700,513.3402215058050,43.20540582559620,22.137139615414900,4.87175121221077,8.455857302593000
56089592,0.700000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,633.4825089204860,667.4454173551690,-0.291464296468291,603.6252314657180,318.07166600872500,12.821795199121000,513.2262250707040,43.48378056638730,22.202258770035400,4.88459579911665,8.45323330269071
56089693,0.801000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,633.5003221493190,667.218059331001,-0.26293765621649200,602.7195524883590,318.1955355091340,13.126595876676800,512.2575523622050,43.99409408676820,22.22563581441260,5.039953040839140,8.178371700243070
56089793,0.902000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,633.5099030773350,666.7145402821090,-0.15981461069398500,604.3141173536540,318.1187409605230,12.779078236276600,514.0953534290220,43.761252202724100,22.197563200063900,4.787494330169390,8.627765000312220
56089893,1.003000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,633.3631215676040,666.4197321402810,-0.1946447442805690,604.5276463411260,318.1640256930340,12.655683067830500,514.4216072309750,44.005495425295200,22.381053777411700,4.733277454403910,8.727277780776440
56089993,1.101000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,633.5168908653500,666.5677161371500,-0.2158790412577680,604.9874612268940,318.46494872949000,12.645252855579100,514.9662390621660,44.50333746029130,22.289221055010900,4.685313855804220,8.819411646442040
56090093,1.201000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,633.6302467117030,666.7400987820800,-0.26353648112891600,604.992199620807,318.73129170191200,12.556203705845800,514.9891349682300,45.55845336744190,22.37628537948660,4.704336053034870,8.826982116600980
56090193,1.301000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,633.7785541150440,667.0048271449600,-0.2583458949858090,604.5548896977570,319.05533590315500,12.786313385098300,514.9037363662020,46.354873312097400,22.321313900042300,4.800904114722390,8.59663757578598
56090293,1.401000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,634.1575968096650,666.9861395925110,-0.3709155407637020,604.5193058616500,319.43555191312000,12.837029530143800,514.4121651204020,46.75255414781590,22.364082909315100,4.874255558045250,8.53744569821924
56090393,1.501000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,634.1917358232280,667.0464772832240,-0.2829177121905340,604.2062908157270,319.482234069856,12.93824562414290,514.0532548509990,46.80482978846860,22.203725654410100,4.930875171433310,8.433250415382720
56090494,1.600000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.1773828544220,667.025865496516,-0.2772435477524230,603.8998606945760,319.5293804369580,13.019465870537900,513.2418462517410,47.11741231687890,22.254972177687200,4.97963066407875,8.448050741355720
56090593,1.701000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.1811356805460,667.0573945820360,-0.2901144779972940,603.5868331355490,319.6230574212130,12.949873586923900,512.5403003621050,46.9362991190224,22.41751596614930,5.032359676754240,8.398769371952030
56090694,1.801000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.1574101852860,667.0051919032550,-0.37781227102256700,603.7441357117800,319.62643588074200,13.070156152233200,511.91814955289200,47.25048175606150,22.547892539691200,5.0035308823829300,8.62342071225553
56090794,1.901000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.1507495691760,666.9763051169990,-0.38636550734325100,603.718353504711,319.57100300805200,13.120739792835700,511.67706177353700,47.770852413931900,22.7301544906005,5.00628011679377,8.695386055444320
56090893,2.001000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.1943132937820,667.035444556715,-0.26319283472022300,603.135792589319,319.66009999305200,13.096356642068100,511.29804227806000,47.70568186011870,22.768024508598300,5.109179363924760,8.441229104635930
56090994,2.103000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.1507551533210,666.9791805129720,-0.37938586164880900,602.4070161797570,319.71111564879500,13.304777110205000,510.23004957107600,47.76861482154500,22.73002434182110,5.222886651076880,8.278704557904080
56091093,2.202000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,634.172519119775,666.9865248840320,-0.37254655053852400,601.9735545967560,319.74971380558000,13.426072932174600,509.5100048272970,47.90612702050550,22.83506645559950,5.297837155755520,8.189297979551320
56091193,2.302000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,634.2101110961770,667.0639241058750,-0.27284530678388100,601.4513163339360,319.81618123713100,13.431905288308300,508.74725453040800,48.03219963986520,22.73859031770200,5.389242047114080,8.05575012322683
