ezloophw-py logger started on:,2026-2-17_115843
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
43126640,0.000000,0.000000,0.000000,1019.64,1019.87,1021.04,1021.88,0.0,0.0,0.06,0.02,0.21,0.38,1328.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43126739,0.000000,0.000000,0.000000,1019.5,1019.88,1021.05,1021.91,0.0,0.0,0.08,0.02,0.21,0.38,1330.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43126839,0.099000,0.000000,0.000000,1019.62,1019.94,1021.1,1022.03,0.0,0.0,0.41,0.35,0.18,0.01,1331.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43126939,0.199000,0.000000,0.000000,1022.28,1022.15,1021.12,1022.04,0.0,0.0,0.05,0.03,0.18,0.01,1332.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43127040,0.299000,0.000000,0.000000,1022.73,1022.59,1021.19,1021.94,0.0,0.0,0.12,0.1,0.16,0.01,1334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43127140,0.401000,0.000000,0.000000,1022.7,1022.6,1021.22,1021.93,0.0,0.0,0.12,0.1,0.16,0.01,1336.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43127241,0.501000,0.000000,0.000000,1022.69,1022.55,1021.14,1021.92,0.0,0.0,0.12,0.09,0.17,0.02,1338.15,645.1504648651714,672.869006654879,0.5370399102525372,648.3824139379952,327.99042037480996,-1.1979896419182234,666.1665266798836,42.685481615305626,-6.103414549524804,-0.5369182904878618,-2.4930065389198983
43127343,0.603000,0.000000,0.000000,1022.71,1022.5,1021.14,1021.9,0.0,0.0,0.12,0.09,0.17,0.02,1340.18,645.1504648651714,672.869006654879,0.5370399102525372,648.3824139379952,327.99042037480996,-1.1979896419182234,666.1665266798836,42.685481615305626,-6.103414549524804,-0.5369182904878618,-2.4930065389198983
43127440,0.705000,0.000000,0.000000,1022.72,1022.59,1021.29,1021.97,0.0,0.0,0.12,0.1,0.14,0.01,1342.11,645.2643374181291,672.7631157630477,0.4689210061897578,648.3318396104157,328.70461361621267,-1.0129582649476607,665.376709617024,44.13119951610343,-5.559897395442773,-0.5108150839154945,-2.40607496803991
43127540,0.803000,0.000000,0.000000,1022.57,1022.54,1021.17,1021.88,0.0,0.0,0.1,0.09,0.17,0.02,1344.08,645.3984365544854,673.0416374582989,0.4848560866923967,648.5786682604787,329.0631722567018,-1.2197248289063642,665.7042028975712,45.31532238639508,-5.594540306380944,-0.5297095067273879,-2.3944645103540223
43127641,0.902000,0.000000,0.000000,1022.66,1022.58,1021.13,1021.92,0.0,0.0,0.11,0.1,0.17,0.02,1346.08,645.7544803090803,673.0139726645664,0.6325995824869305,649.1328403106096,329.4465486488014,-1.352150645600762,665.8755324930135,45.6888060547581,-5.541311939089415,-0.5633815020853004,-2.2499719827704223
43127741,1.003000,0.000000,0.000000,1022.61,1022.47,1021.18,1021.88,0.0,0.0,0.1,0.08,0.16,0.02,1348.05,645.7279972002993,672.9796349975886,0.6641175635856361,649.2760416015531,329.4447088929146,-1.325170510589661,666.8691509901464,45.91880222591548,-5.690097719758161,-0.5917323875672749,-2.367251908140125
43127841,1.105000,0.000000,0.000000,1022.67,1022.52,1021.11,1021.87,0.0,0.0,0.11,0.09,0.18,0.03,1349.87,645.7557907805026,672.9605226744372,0.6192006788646608,649.4116894941302,329.4436791124236,-1.3814735636077962,667.017197241448,45.8983884751486,-5.822280794508607,-0.6097507668015346,-2.333468745459423
43127943,1.202000,0.000000,0.000000,1022.6,1022.55,1021.12,1021.82,0.0,0.0,0.1,0.09,0.18,0.04,1351.81,645.7563437067498,672.9556874321065,0.6142069494814215,649.4017906565148,329.4447846732853,-1.3604529726851018,667.2279357900306,45.92595150812229,-5.7152857947684375,-0.6080182098755202,-2.381679337601195
43128042,1.304000,0.000000,0.000000,1022.6,1022.36,1021.08,1021.89,0.0,0.0,0.1,0.06,0.18,0.02,1353.6,645.7448955347927,673.0126148265374,0.6632650502786416,649.2636792888461,329.45253202034905,-1.3218865826196868,667.1482941555795,45.8873527155396,-5.701981891813497,-0.5868097573311378,-2.4352772216057836
43128143,1.404000,0.000000,0.000000,1022.55,1022.51,1021.13,1021.91,0.0,0.0,0.09,0.09,0.17,0.02,1355.53,645.7691371944738,672.9536780881334,0.5886672207103959,649.1088312405179,329.4401474857803,-1.3453728319782696,666.6749027516566,45.8908873126202,-5.596954943062115,-0.5570212761927356,-2.430939910360278
43128243,1.505000,0.000000,0.000000,1022.56,1022.53,1021.08,1021.93,0.0,0.0,0.09,0.09,0.18,0.01,1357.28,645.7551543176986,672.9505498726326,0.6134489933895453,648.9713687518567,329.4108183640164,-1.281913460224247,666.4586096717704,45.92146324516131,-5.63624344586619,-0.5363866614226038,-2.457084617119129
43128343,1.605000,0.000000,0.000000,1022.49,1022.42,1021.19,1021.89,-0.0,0.0,0.08,0.07,0.16,0.02,1359.1,645.7652394104803,672.9464938051292,0.6018745894634316,648.8900440715876,329.3942070377033,-1.2506920203576728,666.071059716866,45.90473892752989,-5.619335348981509,-0.5211235342749645,-2.4259491174224057
43128443,1.704000,0.000000,0.000000,1022.51,1022.52,1021.12,1022.01,-0.0,0.0,0.09,0.09,0.18,0.0,1359.1,645.7336193170776,672.977117830066,0.6226695009538442,648.942324767378,329.4150151406952,-1.2669481438169399,666.0163349832418,45.88282427547549,-5.61701262489551,-0.5350995742568379,-2.375930838692935
43128544,1.806000,0.000000,0.000000,1022.59,1022.47,1021.14,1021.93,-0.0,0.0,0.1,0.08,0.17,0.01,1360.57,645.7601533988824,672.9540133331141,0.5996403461526105,649.0065653589335,329.4120232241978,-1.232929933710993,666.2175139447259,45.90623604797899,-5.595742936260373,-0.5414190195170445,-2.3911861940975436
43128645,1.905000,0.000000,0.000000,1022.54,1022.42,1021.16,1021.85,-0.0,0.0,0.09,0.07,0.17,0.03,1363.01,645.7677095186037,673.0154928793112,0.6520467156003258,649.2233992734724,329.4401117946606,-1.3217530169329885,666.3226237797901,45.92017805950142,-5.585859958205643,-0.576262948019507,-2.298829763361316
43128745,2.007000,0.000000,0.000000,1022.48,1022.37,1021.13,1021.89,-0.0,0.0,0.08,0.06,0.17,0.02,1363.01,645.7609083052448,672.9575441203995,0.5927473915423064,649.3093275511256,329.44713123534024,-1.3009581096830871,666.8829036601402,45.94560940551071,-5.643394256530581,-0.5918371266289226,-2.3634144999199753
43128845,2.105000,0.000000,0.000000,1022.53,1022.62,1021.2,1021.89,-0.0,0.0,0.09,0.11,0.16,0.02,1364.73,645.7289681716289,672.9744755348005,0.6512369049526993,649.3881286185508,329.4565188826401,-1.370025121872547,667.0494562600296,45.94230372784659,-5.785645212245165,-0.6102927580080473,-2.344010450115216
43128945,2.206000,0.000000,0.000000,1022.54,1022.5,1021.16,1021.89,-0.0,0.0,0.09,0.08,0.17,0.02,1366.41,645.7593002419499,672.9548081800646,0.5885072950482647,649.3499903512536,329.44979336088863,-1.3654093279444095,667.0880866385498,45.91882658790572,-5.66125752743139,-0.5988963397615645,-2.382046369562097
43129045,2.307000,0.000000,0.000000,1022.57,1022.48,1021.13,1021.85,-0.0,0.0,0.1,0.08,0.17,0.03,1368.09,645.7467659437452,673.0295312598971,0.689127025975245,649.2103755610366,329.4476111257778,-1.1927455704844363,667.040345645867,45.93850806451761,-5.781143443126169,-0.5775725650350884,-2.443463736428635
43129146,2.407000,0.000000,0.000000,1022.57,1022.47,1021.04,1021.93,-0.01,0.0,0.1,0.08,0.19,0.01,1369.65,645.765881611369,672.9534065720666,0.5859876177006577,649.0693266802161,329.45789671990457,-1.326603305624157,666.5260544867785,45.929731883814235,-5.560183251604071,-0.5510046563327473,-2.421223870152282
43129246,2.507000,0.000000,0.000000,1022.58,1022.47,1021.09,1021.85,-0.01,0.0,0.1,0.08,0.18,0.03,1371.29,645.735333178422,672.969879885151,0.6220542128913309,648.9470210876354,329.4203564239093,-1.2322156265594086,666.3564076821847,45.91781093751292,-5.622917556468239,-0.535616524871585,-2.4427861123697023
43129346,2.607000,0.000000,0.000000,1022.49,1022.34,1021.12,1021.83,-0.01,0.0,0.08,0.06,0.18,0.03,1373.0,645.7655125839468,672.9598355081264,0.5754013101049157,648.9190025262575,329.4202225368061,-1.265114284995466,666.0645764899184,45.91319187572422,-5.588865802687326,-0.5259265104491674,-2.408992358659588
43129445,2.707000,0.000000,0.000000,1022.53,1022.52,1021.06,1021.85,-0.01,0.0,0.09,0.09,0.19,0.03,1374.65,645.753767608458,672.9650775658928,0.6310013111854084,648.9957672343256,329.41758995196244,-1.2476567942090542,666.0510870154429,45.907438079021475,-5.604284894214814,-0.5406745464233157,-2.3612845428828884
43129545,2.806000,0.000000,0.000000,1022.63,1022.4,1021.16,1021.93,-0.01,0.0,0.11,0.07,0.17,0.01,1376.18,645.7353955545517,672.9617996321688,0.6450765185808257,649.0611887711789,329.441972394441,-1.2621209983384858,666.2975691274975,45.91151283225036,-5.6082179310078955,-0.554692761289473,-2.369457498555671
43129645,2.907000,0.000000,0.000000,1022.63,1022.49,1021.23,1021.9,-0.01,0.0,0.11,0.08,0.15,0.02,1377.66,645.7596132632847,672.9610717718817,0.6148868456961089,649.253322215422,329.4596667318612,-1.2779547282082748,666.417243871054,45.934565679789635,-5.6227298152250444,-0.5827279679973738,-2.29886364752328
43129745,3.007000,0.000000,0.000000,1022.63,1022.46,1021.16,1021.93,-0.01,0.0,0.11,0.08,0.17,0.01,1379.16,645.7550481706212,672.9667981985565,0.6192563583730882,649.2932764800496,329.4513072209914,-1.3579099460944373,666.9422522081333,45.935390046702395,-5.732889569030852,-0.5901287881842577,-2.3818304879159005
43129845,3.107000,0.000000,0.000000,1022.54,1022.42,1021.14,1021.89,-0.01,0.01,0.09,0.07,0.17,0.02,1380.71,645.7591189444612,672.9531559998766,0.5808981718529304,649.3184965050478,329.4597911412423,-1.278733384963221,666.9797550712508,45.92753984503854,-5.747967780209168,-0.5936941840918996,-2.376967525684801
43129945,3.207000,0.000000,0.000000,1022.46,1022.56,1021.12,1021.83,-0.01,0.01,0.08,0.1,0.18,0.03,1382.28,645.7511545039154,672.9713439330559,0.6613697909610811,649.2918201183603,329.4599735479584,-1.2759871418451578,666.8476459772684,45.9195612748876,-5.664665719846308,-0.590542352296015,-2.3619456421278135
43130045,3.307000,0.000000,0.000000,1022.45,1022.45,1021.13,1021.85,-0.01,0.0,0.08,0.08,0.17,0.03,1383.64,645.7660512381982,672.9641173518283,0.6227786495457369,649.0482818190472,329.4181276031959,-1.2379306621503836,666.6873970303012,45.88863563511855,-5.645709059765309,-0.5473859212872217,-2.4651611842257948
43130145,3.407000,0.000000,0.000000,1022.5,1022.52,1021.16,1021.85,-0.01,0.0,0.08,0.09,0.17,0.03,1385.07,645.7679592822808,672.9638549598338,0.6185685267286584,648.9643525370896,329.4181543056516,-1.2118336874760682,666.0848196059824,45.85677328732938,-5.627229160964706,-0.5330718983825672,-2.3889852622026693
43130245,3.506000,0.000000,0.000000,1022.48,1022.51,1021.11,1022.01,-0.01,0.0,0.08,0.09,0.18,0.0,1386.22,645.7532343260159,672.9631038306701,0.6177333357667077,648.8367295468828,329.3777745793212,-1.286173585816877,666.0043658417208,45.83779723134902,-5.6110492225435165,-0.5141852820716044,-2.4365155891521697
43130345,3.606000,0.000000,0.000000,1022.54,1022.48,1021.09,1022.04,-0.01,0.01,0.09,0.08,0.18,0.01,1386.74,645.7404721345996,672.9636268532317,0.671907552368682,648.807584669501,329.3340574277407,-1.180421084389124,665.7469445501885,45.83683546449198,-5.528654981926421,-0.511387705554502,-2.3966629033521345
43130446,3.705000,0.000000,0.000000,1022.47,1022.37,1021.11,1021.97,-0.01,0.01,0.08,0.06,0.18,0.01,1387.41,645.7587694605199,672.9606586616422,0.6058101064994293,648.9531791847714,329.41428453375954,-1.2491898323120698,665.8244452232492,45.87396374319507,-5.541526588394782,-0.5327400739300545,-2.3397284656173105
43130545,3.806000,0.000000,0.000000,1022.51,1022.56,1021.16,1021.92,-0.01,0.01,0.09,0.09,0.17,0.02,1386.87,645.7649691237704,672.9559874642733,0.6022911393086813,649.0296850428425,329.4414931791941,-1.238648801539368,666.2517347229535,45.90038467359496,-5.621338126885263,-0.5445150498343156,-2.3867974090654434
