ezloophw-py logger started on:,2026-3-16_144324
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53008879,1.302000,0.000000,0.000000,1006.29,1006.56,1007.72,1008.54,0.0,0.0,1.0,1.0,1.0,1.0,1399.49,0.0,0.0,0.0,0.0,0.0,0.0,326.1931743167984,449.2103579504441,6.6290811630196185,323.8814849157113,219.30077611270568,7.19808809398935,324.3674708960211,29.69288573548438,-5.707932358017352,0.5760768295867396,-1.2990087533523118
53008979,1.403000,0.000000,0.000000,1006.34,1006.49,1007.65,1008.56,0.0,0.0,1.0,1.0,1.0,1.0,1399.36,0.0,0.0,0.0,0.0,0.0,0.0,326.21610489929935,449.2597300968596,6.593674395774197,323.863900093171,219.36029793431115,7.427493420645663,324.3573052573122,29.697970915846287,-5.72354383700878,0.5797868711441776,-1.308627959670069
53009079,1.504000,0.000000,0.000000,1006.25,1006.63,1007.68,1008.55,0.0,0.0,1.0,1.0,1.0,1.0,1399.43,0.0,0.0,0.0,0.0,0.0,0.0,326.1955451079432,449.2159847247367,6.646448662200978,323.86266329348354,219.36525029606275,7.447305912401556,324.36189231356326,29.700400792284473,-5.717811553372833,0.5815064848509818,-1.3138245190104851
53009179,1.602000,0.000000,0.000000,1006.28,1006.53,1007.59,1008.52,-0.0,-0.0,1.0,1.0,1.0,1.0,1399.33,0.0,0.0,0.0,0.0,0.0,0.0,326.18605402342644,449.2129168866599,6.643863323540076,323.8556166890013,219.35001373948168,7.409216235500976,324.3466818402151,29.69320396626895,-5.708373697054904,0.5808664525528503,-1.3100845397706877
53009280,1.705000,0.000000,0.000000,1006.26,1006.54,1007.73,1008.61,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.42,0.0,0.0,0.0,0.0,0.0,0.0,326.1930398504565,449.20200522196524,6.663238401279865,323.86916498738873,219.36286927581537,7.4298038772220005,324.3551068647721,29.69836949310844,-5.690321552824745,0.5792907472514184,-1.3053794338733127
53009380,1.804000,0.000000,0.000000,1006.26,1006.61,1007.69,1008.5,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.32,0.0,0.0,0.0,0.0,0.0,0.0,326.1985320896431,449.2218547122673,6.655834755234226,323.86979680638746,219.36430788098062,7.442734917418382,324.37280138213185,29.689384031136324,-5.706238908590428,0.5804557667046365,-1.3128555601685716
53009479,1.903000,0.000000,0.000000,1006.14,1006.59,1007.68,1008.49,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.49,0.0,0.0,0.0,0.0,0.0,0.0,326.19519526705994,449.2549148112844,6.577096305864277,323.8657216115561,219.354880394391,7.415238250074362,324.3529841481921,29.699545643489177,-5.715919690802628,0.5805185347192693,-1.3095100548711565
53009580,2.002000,0.000000,0.000000,1006.35,1006.55,1007.65,1008.56,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.37,0.0,0.0,0.0,0.0,0.0,0.0,325.7598691903623,448.9919275463837,6.302269966726448,323.5845197713065,218.29219263832147,7.70315970907265,324.0837196574236,28.27818283572829,-5.8459022751806975,0.5402461643364694,-1.2310179706175415
53009680,2.105000,0.000000,0.000000,1006.28,1006.59,1007.75,1008.48,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.21,0.0,0.0,0.0,0.0,0.0,0.0,325.82468195679473,449.913303678649,6.655183795242656,323.5140868594458,218.15186329211866,7.332952215156813,323.91472845127214,27.298425319102364,-5.598251886292242,0.5712035663094214,-1.2626828731784114
53009779,2.204000,0.000000,0.000000,1006.15,1006.52,1007.63,1008.61,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.34,0.0,0.0,0.0,0.0,0.0,0.0,325.97608751113916,450.4213926697467,6.709582051355056,323.44878061385106,218.14412099064458,7.526620170905221,324.1020825915105,27.137048358922396,-5.892949594866878,0.623385593532664,-1.4427393236855255
53009879,2.302000,0.000000,0.000000,1006.23,1006.58,1007.71,1008.58,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.44,0.0,0.0,0.0,0.0,0.0,0.0,325.83752026066946,449.8773409387547,6.55933804333912,323.4413341728668,218.12643211065608,7.562043159781261,324.1020825915105,27.137048358922396,-5.892949594866878,0.623385593532664,-1.4427393236855255
53009980,2.408000,0.000000,0.000000,1006.21,1006.48,1007.57,1008.55,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.37,0.0,0.0,0.0,0.0,0.0,0.0,325.70996408419603,449.2862736421827,6.30132781690448,323.59886906476993,218.27498229650374,7.241743064392393,323.9688624423169,27.73467468878035,-6.007355254351393,0.5235824929187523,-1.158422454678779
53010080,2.504000,0.000000,0.000000,1006.21,1006.54,1007.64,1008.58,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.42,0.0,0.0,0.0,0.0,0.0,0.0,325.76994900458766,448.86071940609173,6.286766343531729,323.6230208527545,218.32365854094738,7.716359506054129,324.03224413568523,28.09156327374441,-5.77840612688116,0.5335643894046859,-1.1903820646988668
53010179,2.604000,0.000000,0.000000,1006.26,1006.61,1007.7,1008.64,-0.01,-0.0,1.0,1.0,1.0,1.0,1399.36,0.0,0.0,0.0,0.0,0.0,0.0,325.82655450511163,448.8218983753738,6.146356886820604,323.68386530913693,218.52957500214686,7.440276216005505,324.08530484738833,28.75995430332685,-5.884274739118039,0.5330768457270286,-1.1873572691281273
