ezloophw-py logger started on:,2026-3-16_143754
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
52677191,0.000000,0.000000,0.000000,1006.3,1006.58,1007.75,1008.77,0.0,0.0,1.0,1.0,1.0,1.0,1401.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52677289,0.000000,0.000000,0.000000,1006.31,1006.56,1007.68,1008.6,0.0,0.0,1.0,1.0,1.0,1.0,1401.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52677390,0.098000,0.000000,0.000000,1006.35,1006.52,1007.81,1008.66,0.0,0.0,1.0,1.0,1.0,1.0,1400.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52677489,0.199000,0.000000,0.000000,1006.27,1006.41,1007.72,1008.69,0.0,0.0,1.0,1.0,1.0,1.0,1400.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52677590,0.298000,0.000000,0.000000,1006.41,1006.47,1007.77,1008.63,0.0,0.0,1.0,1.0,1.0,1.0,1400.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52677690,0.399000,0.000000,0.000000,1006.34,1006.43,1007.81,1008.69,0.0,0.0,1.0,1.0,1.0,1.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.3503669939325,449.3481055169726,6.7043186978878255,316.6761001772073,219.6967307152275,10.697692142800827,306.5961319465145,30.696099054367963,-2.1370671632111287,2.412209052602862,-1.7715553777703241
52677790,0.501000,0.000000,0.000000,1006.37,1006.55,1007.77,1008.59,0.0,0.0,1.0,1.0,1.0,1.0,1400.02,0.0,0.0,0.0,0.0,0.0,0.0,326.3161936424622,449.38305053621093,6.8937737728507,316.6761293960212,219.6997770422273,10.692557616045352,306.57797542856775,30.680911821300253,-2.1553238160294192,2.403357471493786,-1.7486493138888375
52677891,0.603000,0.000000,0.000000,1006.37,1006.5,1007.76,1008.72,0.0,0.0,1.0,1.0,1.0,1.0,1399.88,0.0,0.0,0.0,0.0,0.0,0.0,326.2987197070705,449.34923497255284,6.7055599098678655,316.67302286418254,219.70131279591678,10.699781885922201,306.5994325847034,30.69785484360432,-2.1574872435359564,2.4001487181995587,-1.7494082487673652
52677990,0.702000,0.000000,0.000000,1006.33,1006.46,1007.79,1008.55,0.0,0.0,1.0,1.0,1.0,1.0,1399.78,0.0,0.0,0.0,0.0,0.0,0.0,326.3489767353646,449.35885799220546,6.645960908845273,316.68053115099815,219.69960076794814,10.675102897454146,306.58801804653484,30.695492399027742,-2.122754559294857,2.410676638003113,-1.7647544744468981
52678091,0.801000,0.000000,0.000000,1006.29,1006.49,1007.79,1008.61,0.0,0.0,1.0,1.0,1.0,1.0,1399.75,0.0,0.0,0.0,0.0,0.0,0.0,326.3445564181079,449.34072881577293,6.720079456289345,316.68716537555594,219.7015289689523,10.698245535478701,306.6209746965093,30.69878431096186,-2.1604378010813448,2.4081336736434507,-1.7676034909157834
52678190,0.901000,0.000000,0.000000,1006.31,1006.5,1007.79,1008.59,0.0,0.0,1.0,1.0,1.0,1.0,1399.69,0.0,0.0,0.0,0.0,0.0,0.0,326.2935463879444,449.34509460632705,6.660555498904675,316.72214900596435,219.66491100171024,10.636841564676503,306.583512034974,30.654826214792926,-2.211710264832347,2.3862901105130976,-1.702136008758636
52678290,1.000000,0.000000,0.000000,1006.23,1006.48,1007.75,1008.6,0.0,0.0,1.0,1.0,1.0,1.0,1399.54,0.0,0.0,0.0,0.0,0.0,0.0,326.33804258229554,449.34256498155213,6.69186127088169,316.68053936998047,219.6967859689754,10.687894466979323,306.60838267101985,30.703549357857806,-2.158604121471644,2.4080927003172996,-1.7655649008611358
